Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;2
1ªDose;2021-01-20;14
1ªDose;2021-01-21;19
1ªDose;2021-01-22;3
1ªDose;2021-01-24;1
1ªDose;2021-01-25;4
1ªDose;2021-01-26;10
1ªDose;2021-01-27;10
1ªDose;2021-01-28;16
1ªDose;2021-01-29;17
1ªDose;2021-01-30;17
1ªDose;2021-02-01;75
1ªDose;2021-02-02;58
1ªDose;2021-02-03;52
1ªDose;2021-02-04;4
1ªDose;2021-02-05;11
1ªDose;2021-02-06;8
1ªDose;2021-02-08;13
1ªDose;2021-02-09;22
1ªDose;2021-02-10;10
1ªDose;2021-02-11;31
1ªDose;2021-02-12;13
1ªDose;2021-02-13;51
1ªDose;2021-02-14;2
1ªDose;2021-02-15;57
1ªDose;2021-02-16;11
1ªDose;2021-02-17;16
1ªDose;2021-02-18;14
1ªDose;2021-02-19;19
1ªDose;2021-02-20;4
1ªDose;2021-02-21;2
1ªDose;2021-02-22;14
1ªDose;2021-02-23;2
1ªDose;2021-02-24;11
1ªDose;2021-02-25;3
1ªDose;2021-02-26;7
1ªDose;2021-02-27;6
1ªDose;2021-02-28;8
1ªDose;2021-03-01;11
1ªDose;2021-03-02;26
1ªDose;2021-03-03;37
1ªDose;2021-03-04;38
1ªDose;2021-03-05;46
1ªDose;2021-03-06;8
1ªDose;2021-03-07;3
1ªDose;2021-03-08;4
1ªDose;2021-03-09;49
1ªDose;2021-03-10;23
1ªDose;2021-03-11;36
1ªDose;2021-03-12;78
1ªDose;2021-03-13;19
1ªDose;2021-03-14;19
1ªDose;2021-03-15;172
1ªDose;2021-03-16;148
1ªDose;2021-03-17;61
1ªDose;2021-03-18;168
1ªDose;2021-03-19;143
1ªDose;2021-03-22;264
1ªDose;2021-03-23;6
1ªDose;2021-03-24;15
1ªDose;2021-03-25;13
1ªDose;2021-03-26;21
1ªDose;2021-03-27;1
1ªDose;2021-03-29;115
1ªDose;2021-03-30;24
1ªDose;2021-03-31;44
1ªDose;2021-04-01;245
1ªDose;2021-04-04;1
1ªDose;2021-04-05;276
1ªDose;2021-04-06;93
1ªDose;2021-04-07;113
1ªDose;2021-04-08;6
1ªDose;2021-04-09;10
1ªDose;2021-04-10;207
1ªDose;2021-04-13;8
1ªDose;2021-04-14;76
1ªDose;2021-04-15;26
1ªDose;2021-04-16;53
1ªDose;2021-04-17;363
1ªDose;2021-04-19;1
1ªDose;2021-04-20;20
1ªDose;2021-04-21;21
1ªDose;2021-04-22;24
1ªDose;2021-04-23;14
1ªDose;2021-04-27;5
1ªDose;2021-04-28;24
1ªDose;2021-04-29;14
1ªDose;2021-04-30;1
2ªDose;2021-02-16;3
2ªDose;2021-02-17;387
2ªDose;2021-02-18;215
2ªDose;2021-02-19;282
2ªDose;2021-02-21;14
2ªDose;2021-02-22;43
2ªDose;2021-02-23;38
2ªDose;2021-02-24;34
2ªDose;2021-02-25;28
2ªDose;2021-02-26;47
2ªDose;2021-03-01;54
2ªDose;2021-03-02;144
2ªDose;2021-03-03;55
2ªDose;2021-03-04;8
2ªDose;2021-03-05;12
2ªDose;2021-03-09;41
2ªDose;2021-03-10;16
2ªDose;2021-03-11;36
2ªDose;2021-03-12;37
2ªDose;2021-03-13;3
2ªDose;2021-03-14;7
2ªDose;2021-03-15;46
2ªDose;2021-03-16;34
2ªDose;2021-03-17;16
2ªDose;2021-03-18;19
2ªDose;2021-03-19;10
2ªDose;2021-03-22;16
2ªDose;2021-03-23;17
2ªDose;2021-03-24;15
2ªDose;2021-03-25;20
2ªDose;2021-03-26;11
2ªDose;2021-03-27;21
2ªDose;2021-03-28;1
2ªDose;2021-03-29;25
2ªDose;2021-03-30;27
2ªDose;2021-03-31;5
2ªDose;2021-04-01;20
2ªDose;2021-04-04;6
2ªDose;2021-04-05;92
2ªDose;2021-04-06;43
2ªDose;2021-04-07;25
2ªDose;2021-04-08;10
2ªDose;2021-04-09;11
2ªDose;2021-04-10;136
2ªDose;2021-04-12;14
2ªDose;2021-04-13;13
2ªDose;2021-04-14;469
2ªDose;2021-04-15;1
2ªDose;2021-04-16;170
2ªDose;2021-04-17;44
2ªDose;2021-04-20;15
2ªDose;2021-04-21;104
2ªDose;2021-04-22;33
2ªDose;2021-04-23;22
2ªDose;2021-04-27;17
2ªDose;2021-04-28;260
2ªDose;2021-04-29;59
2ªDose;2021-04-30;29
