;Covid-19-Coronavac-Sinovac/Butantan;Covid-19-AstraZeneca
2021-02-19;0.0;
2021-02-20;16.0;
2021-02-21;16.0;
2021-02-22;16.0;
2021-02-23;6.896551724137931;
2021-02-24;5.555555555555555;
2021-02-25;7.6923076923076925;
2021-02-26;5.555555555555555;
2021-02-27;7.017543859649122;
2021-02-28;5.2631578947368425;
2021-03-01;1.7543859649122806;
2021-03-02;1.7543859649122806;
2021-03-03;1.7241379310344827;
2021-03-04;1.7241379310344827;
2021-03-05;1.6666666666666667;
2021-03-06;1.6666666666666667;
2021-03-07;1.6666666666666667;
2021-03-08;1.6666666666666667;
2021-03-09;1.6666666666666667;
2021-03-10;1.4285714285714286;
2021-03-11;1.4285714285714286;
2021-03-12;1.4285714285714286;
2021-03-13;1.25;
2021-03-14;1.25;
2021-03-15;1.25;
2021-03-16;1.25;
2021-03-17;1.25;
2021-03-18;0.0;
2021-03-19;0.0;
2021-03-20;0.0;
2021-03-21;0.0;
2021-03-22;0.0;
2021-03-23;0.0;
2021-03-24;0.0;
2021-03-25;0.0;
2021-03-26;0.0;
2021-03-27;0.0;
2021-03-28;0.0;
2021-03-29;0.0;
2021-03-30;0.0;
2021-03-31;0.0;
2021-04-01;0.0;
2021-04-02;0.0;
2021-04-03;0.0;
2021-04-04;0.0;
2021-04-05;0.0;
2021-04-06;0.0;
2021-04-07;0.0;
2021-04-08;0.0;
2021-04-09;0.0;
2021-04-10;0.0;
2021-04-11;0.0;
2021-04-12;0.0;
2021-04-13;0.0;
2021-04-14;0.0;
2021-04-15;0.0;
2021-04-16;0.0;
2021-04-17;0.0;
2021-04-18;0.0;
2021-04-19;0.0;
2021-04-20;0.0;
2021-04-21;0.0;
2021-04-22;0.0;
2021-04-23;0.0;
2021-04-24;0.0;
2021-04-25;0.0;
2021-04-26;0.0;
2021-04-27;0.0;
2021-04-28;0.0;
2021-04-29;0.0;
2021-04-30;0.0;
