index;count
2021-04-30;10
2021-05-01;10
2021-05-02;10
2021-05-03;30
2021-05-04;59
2021-05-05;59
2021-05-06;69
2021-05-07;69
2021-05-08;69
2021-05-09;69
2021-05-10;69
2021-05-11;69
2021-05-12;69
2021-05-13;69
2021-05-14;69
2021-05-15;69
2021-05-16;69
2021-05-17;69
2021-05-18;69
2021-05-19;89
2021-05-20;119
2021-05-21;119
2021-05-22;119
2021-05-23;119
2021-05-24;119
2021-05-25;129
2021-05-26;149
2021-05-27;202
2021-05-28;234
2021-05-29;234
2021-05-30;234
2021-05-31;255
2021-06-01;276
2021-06-02;307
2021-06-03;344
2021-06-04;344
2021-06-05;344
2021-06-06;344
2021-06-07;344
2021-06-08;344
2021-06-09;344
2021-06-10;344
2021-06-11;344
2021-06-12;344
2021-06-13;344
2021-06-14;344
2021-06-15;344
2021-06-16;352
2021-06-17;352
2021-06-18;410
2021-06-19;483
2021-06-20;483
2021-06-21;485
2021-06-22;719
2021-06-23;759
2021-06-24;759
2021-06-25;759
2021-06-26;759
2021-06-27;759
2021-06-28;861
2021-06-29;898
2021-06-30;904
2021-07-01;904
2021-07-02;904
2021-07-03;904
2021-07-04;904
2021-07-05;909
2021-07-06;909
2021-07-07;909
2021-07-08;909
2021-07-09;909
2021-07-10;909
2021-07-11;909
2021-07-12;920
2021-07-13;967
2021-07-14;997
2021-07-15;1098
2021-07-16;1133
2021-07-17;1133
2021-07-18;1133
2021-07-19;1175
2021-07-20;1192
