index;count
2021-05-27;11
2021-05-28;20
2021-05-29;20
2021-05-30;20
2021-05-31;20
2021-06-01;28
2021-06-02;28
2021-06-03;28
2021-06-04;39
2021-06-05;39
2021-06-06;39
2021-06-07;39
2021-06-08;39
2021-06-09;39
2021-06-10;39
2021-06-11;39
2021-06-12;39
2021-06-13;39
2021-06-14;39
2021-06-15;39
2021-06-16;39
2021-06-17;39
2021-06-18;39
2021-06-19;80
2021-06-20;80
2021-06-21;80
2021-06-22;80
2021-06-23;109
2021-06-24;109
2021-06-25;109
2021-06-26;109
2021-06-27;109
2021-06-28;109
2021-06-29;109
2021-06-30;123
2021-07-01;132
2021-07-02;132
2021-07-03;132
2021-07-04;132
2021-07-05;137
2021-07-06;137
2021-07-07;137
2021-07-08;157
2021-07-09;157
2021-07-10;157
2021-07-11;157
2021-07-12;162
2021-07-13;162
2021-07-14;166
2021-07-15;167
2021-07-16;168
2021-07-17;188
2021-07-18;188
2021-07-19;192
