index;count
2021-05-05;1
2021-05-06;18
2021-05-07;21
2021-05-08;21
2021-05-09;21
2021-05-10;21
2021-05-11;21
2021-05-12;21
2021-05-13;21
2021-05-14;21
2021-05-15;21
2021-05-16;21
2021-05-17;21
2021-05-18;21
2021-05-19;21
2021-05-20;21
2021-05-21;21
2021-05-22;21
2021-05-23;21
2021-05-24;21
2021-05-25;21
2021-05-26;21
2021-05-27;51
2021-05-28;51
2021-05-29;51
2021-05-30;51
2021-05-31;61
2021-06-01;61
2021-06-02;61
2021-06-03;61
2021-06-04;71
2021-06-05;121
2021-06-06;121
2021-06-07;121
2021-06-08;151
2021-06-09;171
2021-06-10;171
2021-06-11;171
2021-06-12;171
2021-06-13;171
2021-06-14;171
2021-06-15;171
2021-06-16;171
2021-06-17;171
2021-06-18;171
2021-06-19;196
2021-06-20;196
2021-06-21;211
2021-06-22;250
2021-06-23;315
2021-06-24;315
2021-06-25;315
2021-06-26;365
2021-06-27;365
2021-06-28;365
2021-06-29;394
2021-06-30;434
2021-07-01;434
2021-07-02;434
2021-07-03;434
2021-07-04;434
2021-07-05;434
2021-07-06;448
2021-07-07;448
2021-07-08;448
2021-07-09;464
2021-07-10;464
2021-07-11;464
2021-07-12;487
2021-07-13;516
2021-07-14;516
2021-07-15;559
2021-07-16;571
2021-07-17;573
2021-07-18;573
2021-07-19;576
2021-07-20;576
2021-07-21;580
