index;count
2021-04-30;60
2021-05-01;60
2021-05-02;60
2021-05-03;79
2021-05-04;81
2021-05-05;81
2021-05-06;88
2021-05-07;89
2021-05-08;89
2021-05-09;89
2021-05-10;89
2021-05-11;89
2021-05-12;89
2021-05-13;89
2021-05-14;89
2021-05-15;89
2021-05-16;89
2021-05-17;89
2021-05-18;89
2021-05-19;89
2021-05-20;89
2021-05-21;89
2021-05-22;89
2021-05-23;89
2021-05-24;98
2021-05-25;138
2021-05-26;160
2021-05-27;261
2021-05-28;305
2021-05-29;305
2021-05-30;305
2021-05-31;388
2021-06-01;439
2021-06-02;454
2021-06-03;464
2021-06-04;473
2021-06-05;473
2021-06-06;473
2021-06-07;473
2021-06-08;482
2021-06-09;482
2021-06-10;491
2021-06-11;491
2021-06-12;491
2021-06-13;491
2021-06-14;491
2021-06-15;501
2021-06-16;615
2021-06-17;705
2021-06-18;720
2021-06-19;720
2021-06-20;720
2021-06-21;746
2021-06-22;789
2021-06-23;833
2021-06-24;833
2021-06-25;833
2021-06-26;1022
2021-06-27;1075
2021-06-28;1182
2021-06-29;1252
2021-06-30;1268
2021-07-01;1273
2021-07-02;1278
2021-07-03;1278
2021-07-04;1278
2021-07-05;1543
2021-07-06;1759
2021-07-07;1822
2021-07-08;1834
2021-07-09;1834
2021-07-10;1834
2021-07-11;1834
2021-07-12;1838
2021-07-13;1840
2021-07-14;1840
2021-07-15;1962
2021-07-16;2074
2021-07-17;2074
2021-07-18;2074
2021-07-19;2092
2021-07-20;2120
2021-07-21;2141
2021-07-22;2221
