index;count
2021-05-03;80
2021-05-04;109
2021-05-05;149
2021-05-06;178
2021-05-07;196
2021-05-08;198
2021-05-09;198
2021-05-10;198
2021-05-11;198
2021-05-12;198
2021-05-13;198
2021-05-14;198
2021-05-15;198
2021-05-16;198
2021-05-17;198
2021-05-18;198
2021-05-19;198
2021-05-20;198
2021-05-21;198
2021-05-22;218
2021-05-23;218
2021-05-24;218
2021-05-25;218
2021-05-26;218
2021-05-27;247
2021-05-28;247
2021-05-29;247
2021-05-30;247
2021-05-31;276
2021-06-01;286
2021-06-02;286
2021-06-03;286
2021-06-04;286
2021-06-05;286
2021-06-06;286
2021-06-07;286
2021-06-08;286
2021-06-09;286
2021-06-10;286
2021-06-11;286
2021-06-12;286
2021-06-13;286
2021-06-14;286
2021-06-15;286
2021-06-16;318
2021-06-17;349
2021-06-18;349
2021-06-19;381
2021-06-20;381
2021-06-21;381
2021-06-22;403
2021-06-23;426
2021-06-24;426
2021-06-25;426
2021-06-26;426
2021-06-27;426
2021-06-28;475
2021-06-29;498
2021-06-30;514
2021-07-01;514
2021-07-02;514
2021-07-03;629
2021-07-04;658
2021-07-05;662
