index;count
2021-05-04;10
2021-05-05;10
2021-05-06;20
2021-05-07;29
2021-05-08;29
2021-05-09;29
2021-05-10;29
2021-05-11;29
2021-05-12;29
2021-05-13;48
2021-05-14;58
2021-05-15;58
2021-05-16;58
2021-05-17;58
2021-05-18;58
2021-05-19;58
2021-05-20;58
2021-05-21;67
2021-05-22;67
2021-05-23;67
2021-05-24;67
2021-05-25;67
2021-05-26;67
2021-05-27;67
2021-05-28;67
2021-05-29;67
2021-05-30;67
2021-05-31;151
2021-06-01;211
2021-06-02;242
2021-06-03;262
2021-06-04;276
2021-06-05;286
2021-06-06;286
2021-06-07;304
2021-06-08;304
2021-06-09;313
2021-06-10;313
2021-06-11;323
2021-06-12;332
2021-06-13;332
2021-06-14;332
2021-06-15;343
2021-06-16;353
2021-06-17;509
2021-06-18;627
2021-06-19;695
2021-06-20;695
2021-06-21;719
2021-06-22;861
2021-06-23;923
2021-06-24;955
2021-06-25;955
2021-06-26;1124
2021-06-27;1124
2021-06-28;1225
2021-06-29;1264
2021-06-30;1283
2021-07-01;1296
2021-07-02;1299
2021-07-03;1302
2021-07-04;1302
2021-07-05;1310
2021-07-06;1310
2021-07-07;1472
2021-07-08;1564
2021-07-09;1599
2021-07-10;1719
2021-07-11;1816
2021-07-12;2043
2021-07-13;2223
2021-07-14;2311
2021-07-15;2407
2021-07-16;2443
2021-07-17;2461
2021-07-18;2461
2021-07-19;2497
2021-07-20;2500
2021-07-21;2530
2021-07-22;2554
