Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;3
1ªDose;2021-01-25;3
1ªDose;2021-01-26;3
1ªDose;2021-01-27;5
1ªDose;2021-01-28;3
1ªDose;2021-01-29;1
1ªDose;2021-02-03;1
1ªDose;2021-02-04;2
1ªDose;2021-02-05;1
1ªDose;2021-02-11;10
1ªDose;2021-02-18;11
1ªDose;2021-02-24;9
1ªDose;2021-03-05;10
1ªDose;2021-03-11;4
1ªDose;2021-03-22;10
1ªDose;2021-03-23;10
1ªDose;2021-03-29;30
1ªDose;2021-03-30;40
1ªDose;2021-03-31;29
1ªDose;2021-04-05;27
1ªDose;2021-04-06;36
1ªDose;2021-04-07;45
1ªDose;2021-04-08;34
1ªDose;2021-04-09;8
1ªDose;2021-04-12;7
1ªDose;2021-04-15;16
1ªDose;2021-04-16;8
1ªDose;2021-04-19;8
2ªDose;2021-02-18;2
2ªDose;2021-02-19;1
2ªDose;2021-02-22;5
2ªDose;2021-02-23;1
2ªDose;2021-02-24;2
2ªDose;2021-02-25;5
2ªDose;2021-03-01;1
2ªDose;2021-03-02;4
2ªDose;2021-03-03;1
2ªDose;2021-03-04;1
2ªDose;2021-03-08;1
2ªDose;2021-03-10;4
2ªDose;2021-03-16;10
2ªDose;2021-03-18;10
2ªDose;2021-03-29;1
2ªDose;2021-03-31;11
2ªDose;2021-04-13;17
2ªDose;2021-04-19;19
2ªDose;2021-04-20;36
2ªDose;2021-04-22;27
2ªDose;2021-04-26;17
2ªDose;2021-04-27;27
2ªDose;2021-04-28;45
