Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-22;1
1ªDose;2021-01-27;1
1ªDose;2021-02-02;25
1ªDose;2021-02-03;28
1ªDose;2021-02-04;2
1ªDose;2021-02-05;2
1ªDose;2021-02-08;22
1ªDose;2021-02-09;12
1ªDose;2021-02-10;1
1ªDose;2021-02-11;41
1ªDose;2021-02-12;49
1ªDose;2021-02-17;84
1ªDose;2021-02-18;3
1ªDose;2021-02-19;18
1ªDose;2021-02-26;42
1ªDose;2021-03-02;69
1ªDose;2021-03-03;11
1ªDose;2021-03-08;51
1ªDose;2021-03-10;70
1ªDose;2021-03-16;8
1ªDose;2021-03-18;109
1ªDose;2021-03-19;1
1ªDose;2021-03-23;128
1ªDose;2021-03-24;141
1ªDose;2021-03-25;171
1ªDose;2021-03-26;168
1ªDose;2021-03-27;615
1ªDose;2021-03-30;14
1ªDose;2021-03-31;97
1ªDose;2021-04-03;867
1ªDose;2021-04-04;2
1ªDose;2021-04-05;9
1ªDose;2021-04-07;539
1ªDose;2021-04-08;57
1ªDose;2021-04-09;28
1ªDose;2021-04-10;87
1ªDose;2021-04-13;1
1ªDose;2021-04-15;21
1ªDose;2021-04-16;1
1ªDose;2021-04-17;5
1ªDose;2021-04-24;1
1ªDose;2021-04-29;2
2ªDose;2021-02-10;23
2ªDose;2021-02-11;35
2ªDose;2021-02-12;41
2ªDose;2021-02-17;14
2ªDose;2021-02-18;36
2ªDose;2021-02-19;29
2ªDose;2021-02-22;56
2ªDose;2021-02-23;39
2ªDose;2021-02-24;32
2ªDose;2021-02-25;11
2ªDose;2021-02-26;11
2ªDose;2021-03-01;17
2ªDose;2021-03-02;18
2ªDose;2021-03-04;38
2ªDose;2021-03-05;39
2ªDose;2021-03-09;2
2ªDose;2021-03-10;99
2ªDose;2021-03-11;4
2ªDose;2021-03-12;17
2ªDose;2021-03-22;47
2ªDose;2021-03-23;58
2ªDose;2021-03-24;14
2ªDose;2021-03-27;1
2ªDose;2021-03-29;43
2ªDose;2021-03-30;3
2ªDose;2021-03-31;1
2ªDose;2021-04-03;11
2ªDose;2021-04-06;41
2ªDose;2021-04-07;2
2ªDose;2021-04-08;49
2ªDose;2021-04-09;2
2ªDose;2021-04-13;124
2ªDose;2021-04-14;54
2ªDose;2021-04-15;187
2ªDose;2021-04-16;126
2ªDose;2021-04-17;538
2ªDose;2021-04-18;5
2ªDose;2021-04-19;4
2ªDose;2021-04-20;27
2ªDose;2021-04-22;71
2ªDose;2021-04-23;38
2ªDose;2021-04-24;425
2ªDose;2021-04-29;6
2ªDose;2021-05-01;163
