Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;8
1ªDose;2021-02-12;10
1ªDose;2021-02-19;19
1ªDose;2021-02-24;10
1ªDose;2021-03-09;10
1ªDose;2021-03-18;10
1ªDose;2021-03-23;40
1ªDose;2021-03-24;18
1ªDose;2021-03-25;19
1ªDose;2021-03-29;48
1ªDose;2021-03-30;48
1ªDose;2021-04-05;29
1ªDose;2021-04-07;39
1ªDose;2021-04-08;49
1ªDose;2021-04-12;65
1ªDose;2021-04-13;8
1ªDose;2021-04-14;46
1ªDose;2021-04-15;18
2ªDose;2021-02-11;9
2ªDose;2021-02-12;11
2ªDose;2021-02-19;8
2ªDose;2021-02-22;1
2ªDose;2021-02-23;10
2ªDose;2021-02-24;1
2ªDose;2021-03-11;1
2ªDose;2021-03-12;29
2ªDose;2021-03-17;10
2ªDose;2021-03-30;10
2ªDose;2021-04-08;10
2ªDose;2021-04-13;30
2ªDose;2021-04-14;18
2ªDose;2021-04-15;19
2ªDose;2021-04-19;49
2ªDose;2021-04-20;46
2ªDose;2021-04-21;10
2ªDose;2021-04-26;29
2ªDose;2021-04-28;36
2ªDose;2021-04-29;48
