Dose Aplicada;Data;Quantidade
1ªDose;2021-02-03;11
1ªDose;2021-02-04;8
1ªDose;2021-02-05;19
1ªDose;2021-02-08;20
1ªDose;2021-02-09;10
1ªDose;2021-02-11;12
1ªDose;2021-02-12;8
1ªDose;2021-02-18;9
1ªDose;2021-03-03;9
1ªDose;2021-03-08;12
1ªDose;2021-03-09;7
1ªDose;2021-03-10;18
1ªDose;2021-03-11;10
1ªDose;2021-03-12;18
1ªDose;2021-03-13;29
1ªDose;2021-03-15;30
1ªDose;2021-03-27;56
1ªDose;2021-03-29;31
1ªDose;2021-03-30;15
1ªDose;2021-03-31;19
1ªDose;2021-04-01;52
1ªDose;2021-04-05;9
1ªDose;2021-04-07;15
1ªDose;2021-04-08;20
1ªDose;2021-04-09;13
1ªDose;2021-04-10;5
1ªDose;2021-04-12;5
1ªDose;2021-04-13;15
1ªDose;2021-04-14;5
1ªDose;2021-04-15;15
1ªDose;2021-04-17;10
1ªDose;2021-04-21;8
1ªDose;2021-04-22;14
1ªDose;2021-04-23;73
1ªDose;2021-04-24;10
1ªDose;2021-04-28;10
1ªDose;2021-04-30;10
2ªDose;2021-04-09;3
2ªDose;2021-04-21;1
