Dose Aplicada;Data;Quantidade
1ªDose;2021-02-09;29
1ªDose;2021-02-10;18
1ªDose;2021-02-11;10
1ªDose;2021-02-12;20
1ªDose;2021-02-26;7
1ªDose;2021-03-17;40
1ªDose;2021-03-18;39
1ªDose;2021-03-19;10
1ªDose;2021-03-24;10
1ªDose;2021-03-29;69
1ªDose;2021-03-30;29
1ªDose;2021-04-05;11
1ªDose;2021-04-06;70
1ªDose;2021-04-07;5
1ªDose;2021-04-08;63
1ªDose;2021-04-09;6
1ªDose;2021-04-13;86
1ªDose;2021-04-14;44
1ªDose;2021-04-16;18
1ªDose;2021-04-19;3
1ªDose;2021-04-21;44
1ªDose;2021-04-22;48
1ªDose;2021-04-23;35
1ªDose;2021-04-26;10
1ªDose;2021-04-27;1
1ªDose;2021-04-28;4
1ªDose;2021-04-29;5
2ªDose;2021-04-08;1
2ªDose;2021-04-13;1
2ªDose;2021-04-28;1
