Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;1
1ªDose;2021-01-25;3
1ªDose;2021-01-26;1
1ªDose;2021-01-27;4
1ªDose;2021-01-28;2
1ªDose;2021-01-29;2
1ªDose;2021-02-01;38
1ªDose;2021-02-03;13
1ªDose;2021-02-04;22
1ªDose;2021-02-05;18
1ªDose;2021-02-08;2
1ªDose;2021-02-10;18
1ªDose;2021-02-11;3
1ªDose;2021-02-12;16
1ªDose;2021-02-18;8
1ªDose;2021-02-19;28
1ªDose;2021-02-22;1
1ªDose;2021-02-25;10
1ªDose;2021-03-04;14
1ªDose;2021-03-08;22
1ªDose;2021-03-09;80
1ªDose;2021-03-11;10
1ªDose;2021-03-12;32
1ªDose;2021-03-13;1
1ªDose;2021-03-14;1
1ªDose;2021-03-15;64
1ªDose;2021-03-16;21
1ªDose;2021-03-18;62
1ªDose;2021-03-19;39
1ªDose;2021-03-22;102
1ªDose;2021-03-23;25
1ªDose;2021-03-24;81
1ªDose;2021-03-25;36
1ªDose;2021-03-26;135
1ªDose;2021-03-29;127
1ªDose;2021-03-30;105
1ªDose;2021-03-31;96
1ªDose;2021-04-03;154
1ªDose;2021-04-04;1
1ªDose;2021-04-05;106
1ªDose;2021-04-06;39
1ªDose;2021-04-07;85
1ªDose;2021-04-08;53
1ªDose;2021-04-09;68
1ªDose;2021-04-10;79
1ªDose;2021-04-12;8
1ªDose;2021-04-13;41
1ªDose;2021-04-14;68
1ªDose;2021-04-15;10
1ªDose;2021-04-16;11
1ªDose;2021-04-17;4
1ªDose;2021-04-19;45
1ªDose;2021-04-20;35
1ªDose;2021-04-21;2
1ªDose;2021-04-22;32
1ªDose;2021-04-23;9
1ªDose;2021-04-24;1
1ªDose;2021-04-26;38
1ªDose;2021-04-27;28
1ªDose;2021-04-28;8
2ªDose;2021-01-23;2
2ªDose;2021-01-25;1
2ªDose;2021-02-01;3
2ªDose;2021-02-08;1
2ªDose;2021-02-12;11
2ªDose;2021-02-18;1
2ªDose;2021-02-23;66
2ªDose;2021-02-25;22
2ªDose;2021-02-26;4
2ªDose;2021-03-01;3
2ªDose;2021-03-03;19
2ªDose;2021-03-04;14
2ªDose;2021-03-05;2
2ªDose;2021-03-08;1
2ªDose;2021-03-09;5
2ªDose;2021-03-10;3
2ªDose;2021-03-12;21
2ªDose;2021-03-13;1
2ªDose;2021-03-14;1
2ªDose;2021-03-15;12
2ªDose;2021-03-16;1
2ªDose;2021-03-19;4
2ªDose;2021-03-26;1
2ªDose;2021-03-30;34
2ªDose;2021-04-03;1
2ªDose;2021-04-05;29
2ªDose;2021-04-08;82
2ªDose;2021-04-09;5
2ªDose;2021-04-10;5
2ªDose;2021-04-12;70
2ªDose;2021-04-13;18
2ªDose;2021-04-14;49
2ªDose;2021-04-15;11
2ªDose;2021-04-16;68
2ªDose;2021-04-19;135
2ªDose;2021-04-20;69
2ªDose;2021-04-21;18
2ªDose;2021-04-22;5
2ªDose;2021-04-23;6
2ªDose;2021-04-26;16
2ªDose;2021-04-27;3
2ªDose;2021-04-28;1
