index;count
2021-05-04;113
2021-05-05;160
2021-05-06;330
2021-05-07;452
2021-05-08;460
2021-05-09;460
2021-05-10;611
2021-05-11;717
2021-05-12;724
2021-05-13;875
2021-05-14;955
2021-05-15;972
2021-05-16;975
2021-05-17;1097
2021-05-18;1199
2021-05-19;1253
2021-05-20;1285
2021-05-21;1313
2021-05-22;1315
2021-05-23;1315
2021-05-24;1337
2021-05-25;1372
2021-05-26;1407
2021-05-27;1475
2021-05-28;1512
2021-05-29;1512
2021-05-30;1512
2021-05-31;1588
2021-06-01;1807
2021-06-02;1884
2021-06-03;1938
2021-06-04;1946
2021-06-05;1946
2021-06-06;1946
2021-06-07;1976
2021-06-08;1977
2021-06-09;1977
2021-06-10;1977
2021-06-11;1981
2021-06-12;1983
2021-06-13;1983
2021-06-14;2001
2021-06-15;2038
2021-06-16;2061
2021-06-17;2075
2021-06-18;2076
2021-06-19;2076
2021-06-20;2076
2021-06-21;2076
2021-06-22;2076
2021-06-23;2256
2021-06-24;2258
2021-06-25;2258
2021-06-26;2279
2021-06-27;2279
2021-06-28;2361
2021-06-29;2435
2021-06-30;2648
2021-07-01;2862
2021-07-02;2970
2021-07-03;2970
2021-07-04;2970
2021-07-05;3153
2021-07-06;3645
2021-07-07;4320
2021-07-08;5472
2021-07-09;6193
2021-07-10;6193
2021-07-11;6193
2021-07-12;6796
2021-07-13;7149
2021-07-14;7233
2021-07-15;7574
2021-07-16;7795
2021-07-17;7795
2021-07-18;7795
2021-07-19;7988
2021-07-20;8132
2021-07-21;8275
2021-07-22;8459
2021-07-23;8549
