index;count
2021-05-06;8
2021-05-07;15
2021-05-08;61
2021-05-09;122
2021-05-10;171
2021-05-11;296
2021-05-12;428
2021-05-13;501
2021-05-14;554
2021-05-15;584
2021-05-16;626
2021-05-17;663
2021-05-18;690
2021-05-19;690
2021-05-20;690
2021-05-21;690
2021-05-22;690
2021-05-23;690
2021-05-24;704
2021-05-25;706
2021-05-26;760
2021-05-27;817
2021-05-28;818
2021-05-29;818
2021-05-30;818
2021-05-31;818
2021-06-01;818
2021-06-02;818
2021-06-03;818
2021-06-04;818
2021-06-05;818
2021-06-06;818
2021-06-07;818
2021-06-08;818
2021-06-09;818
2021-06-10;818
2021-06-11;818
2021-06-12;818
2021-06-13;818
2021-06-14;818
2021-06-15;818
2021-06-16;818
2021-06-17;818
2021-06-18;818
2021-06-19;818
2021-06-20;818
2021-06-21;818
2021-06-22;818
2021-06-23;818
2021-06-24;818
2021-06-25;818
2021-06-26;818
2021-06-27;818
2021-06-28;818
2021-06-29;818
2021-06-30;818
2021-07-01;818
2021-07-02;818
2021-07-03;818
2021-07-04;818
2021-07-05;971
2021-07-06;1097
2021-07-07;1403
2021-07-08;1640
2021-07-09;1842
2021-07-10;2043
2021-07-11;2420
2021-07-12;2500
2021-07-13;2707
2021-07-14;2708
2021-07-15;2708
2021-07-16;2708
2021-07-17;2708
2021-07-18;2708
2021-07-19;2757
2021-07-20;2760
2021-07-21;2765
2021-07-22;2765
2021-07-23;2823
