index;count
2021-05-08;2
2021-05-09;2
2021-05-10;2
2021-05-11;2
2021-05-12;3
2021-05-13;4
2021-05-14;4
2021-05-15;4
2021-05-16;4
2021-05-17;4
2021-05-18;4
2021-05-19;4
2021-05-20;17
2021-05-21;17
2021-05-22;17
2021-05-23;17
2021-05-24;17
2021-05-25;59
2021-05-26;279
2021-05-27;279
2021-05-28;279
2021-05-29;279
2021-05-30;280
2021-05-31;280
2021-06-01;310
2021-06-02;310
2021-06-03;430
2021-06-04;689
2021-06-05;689
2021-06-06;689
2021-06-07;744
2021-06-08;828
2021-06-09;886
2021-06-10;952
2021-06-11;953
2021-06-12;953
2021-06-13;953
2021-06-14;953
2021-06-15;973
2021-06-16;1145
2021-06-17;1396
2021-06-18;1461
2021-06-19;1463
2021-06-20;1463
2021-06-21;1480
2021-06-22;1500
2021-06-23;1536
2021-06-24;1874
2021-06-25;2575
2021-06-26;3532
2021-06-27;4752
2021-06-28;5064
2021-06-29;5231
2021-06-30;5460
2021-07-01;5845
2021-07-02;6211
2021-07-03;6504
2021-07-04;6611
2021-07-05;6770
2021-07-06;6977
2021-07-07;7036
2021-07-08;7100
2021-07-09;7215
2021-07-10;7215
2021-07-11;7215
2021-07-12;7693
2021-07-13;7929
2021-07-14;8408
2021-07-15;8617
2021-07-16;8757
2021-07-17;8823
2021-07-18;8823
2021-07-19;9072
2021-07-20;9146
2021-07-21;9399
2021-07-22;9415
2021-07-23;9419
