Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;2
1ªDose;2021-01-22;9
1ªDose;2021-01-23;42
1ªDose;2021-01-27;47
1ªDose;2021-01-29;71
1ªDose;2021-02-01;33
1ªDose;2021-02-02;41
1ªDose;2021-02-03;162
1ªDose;2021-02-04;93
1ªDose;2021-02-05;47
1ªDose;2021-02-06;113
1ªDose;2021-02-08;7
1ªDose;2021-02-09;24
1ªDose;2021-02-10;58
1ªDose;2021-02-11;103
1ªDose;2021-02-12;86
1ªDose;2021-02-14;2
1ªDose;2021-02-15;29
1ªDose;2021-02-16;18
1ªDose;2021-02-17;23
1ªDose;2021-02-18;24
1ªDose;2021-02-19;8
1ªDose;2021-02-20;40
1ªDose;2021-02-21;1
1ªDose;2021-02-22;63
1ªDose;2021-02-23;60
1ªDose;2021-02-24;86
1ªDose;2021-02-25;187
1ªDose;2021-02-26;68
1ªDose;2021-02-27;51
1ªDose;2021-03-01;148
1ªDose;2021-03-02;72
1ªDose;2021-03-03;246
1ªDose;2021-03-04;129
1ªDose;2021-03-05;178
1ªDose;2021-03-06;2
1ªDose;2021-03-08;159
1ªDose;2021-03-09;244
1ªDose;2021-03-10;188
1ªDose;2021-03-11;308
1ªDose;2021-03-12;325
1ªDose;2021-03-13;64
1ªDose;2021-03-14;1
1ªDose;2021-03-15;107
1ªDose;2021-03-16;57
1ªDose;2021-03-17;151
1ªDose;2021-03-18;290
1ªDose;2021-03-19;303
1ªDose;2021-03-20;49
1ªDose;2021-03-21;2
1ªDose;2021-03-22;324
1ªDose;2021-03-23;462
1ªDose;2021-03-24;395
1ªDose;2021-03-25;462
1ªDose;2021-03-26;507
1ªDose;2021-03-27;98
1ªDose;2021-03-28;409
1ªDose;2021-03-29;202
1ªDose;2021-03-30;112
1ªDose;2021-03-31;78
1ªDose;2021-04-01;55
1ªDose;2021-04-02;23
1ªDose;2021-04-03;317
1ªDose;2021-04-04;167
1ªDose;2021-04-05;391
1ªDose;2021-04-06;208
1ªDose;2021-04-07;264
1ªDose;2021-04-08;175
1ªDose;2021-04-09;52
1ªDose;2021-04-10;61
1ªDose;2021-04-12;11
1ªDose;2021-04-13;24
1ªDose;2021-04-14;47
1ªDose;2021-04-15;1
1ªDose;2021-04-16;87
1ªDose;2021-04-17;52
1ªDose;2021-04-18;34
1ªDose;2021-04-19;40
1ªDose;2021-04-20;126
1ªDose;2021-04-21;85
1ªDose;2021-04-22;85
1ªDose;2021-04-23;91
1ªDose;2021-04-24;153
1ªDose;2021-04-26;76
1ªDose;2021-04-27;135
1ªDose;2021-04-28;114
1ªDose;2021-04-29;172
1ªDose;2021-04-30;58
2ªDose;2021-01-23;1
2ªDose;2021-02-01;4
2ªDose;2021-02-02;1
2ªDose;2021-02-10;25
2ªDose;2021-02-11;232
2ªDose;2021-02-12;187
2ªDose;2021-02-13;31
2ªDose;2021-02-17;5
2ªDose;2021-02-20;37
2ªDose;2021-02-22;1
2ªDose;2021-02-23;27
2ªDose;2021-02-24;109
2ªDose;2021-02-25;58
2ªDose;2021-02-26;68
2ªDose;2021-02-27;4
2ªDose;2021-03-01;3
2ªDose;2021-03-02;15
2ªDose;2021-03-03;40
2ªDose;2021-03-04;11
2ªDose;2021-03-05;4
2ªDose;2021-03-08;4
2ªDose;2021-03-09;2
2ªDose;2021-03-10;2
2ªDose;2021-03-11;1
2ªDose;2021-03-15;4
2ªDose;2021-03-16;3
2ªDose;2021-03-17;7
2ªDose;2021-03-18;3
2ªDose;2021-03-19;28
2ªDose;2021-03-20;2
2ªDose;2021-03-22;7
2ªDose;2021-03-23;21
2ªDose;2021-03-24;3
2ªDose;2021-03-25;25
2ªDose;2021-03-26;162
2ªDose;2021-03-27;3
2ªDose;2021-03-28;3
2ªDose;2021-03-29;149
2ªDose;2021-03-30;191
2ªDose;2021-03-31;222
2ªDose;2021-04-01;291
2ªDose;2021-04-02;228
2ªDose;2021-04-03;100
2ªDose;2021-04-04;34
2ªDose;2021-04-05;96
2ªDose;2021-04-06;68
2ªDose;2021-04-07;107
2ªDose;2021-04-08;260
2ªDose;2021-04-09;306
2ªDose;2021-04-10;54
2ªDose;2021-04-12;40
2ªDose;2021-04-13;51
2ªDose;2021-04-14;49
2ªDose;2021-04-16;806
2ªDose;2021-04-17;260
2ªDose;2021-04-18;2
2ªDose;2021-04-19;213
2ªDose;2021-04-20;26
2ªDose;2021-04-21;15
2ªDose;2021-04-22;1
2ªDose;2021-04-23;1
2ªDose;2021-04-24;150
2ªDose;2021-04-26;3
2ªDose;2021-04-27;48
2ªDose;2021-04-28;59
2ªDose;2021-04-29;3
