index;count
2021-05-04;185
2021-05-05;233
2021-05-06;267
2021-05-07;295
2021-05-08;304
2021-05-09;311
2021-05-10;311
2021-05-11;311
2021-05-12;320
2021-05-13;332
2021-05-14;334
2021-05-15;338
2021-05-16;340
2021-05-17;342
2021-05-18;343
2021-05-19;343
2021-05-20;350
2021-05-21;417
2021-05-22;417
2021-05-23;417
2021-05-24;507
2021-05-25;540
2021-05-26;590
2021-05-27;601
2021-05-28;611
2021-05-29;611
2021-05-30;611
2021-05-31;621
2021-06-01;632
2021-06-02;632
2021-06-03;642
2021-06-04;652
2021-06-05;652
2021-06-06;652
2021-06-07;652
2021-06-08;652
2021-06-09;652
2021-06-10;662
2021-06-11;662
2021-06-12;662
2021-06-13;663
2021-06-14;794
2021-06-15;985
2021-06-16;1204
2021-06-17;1496
2021-06-18;1705
2021-06-19;1774
2021-06-20;1774
2021-06-21;1839
2021-06-22;1959
2021-06-23;2079
2021-06-24;2127
2021-06-25;2127
2021-06-26;2127
2021-06-27;2157
2021-06-28;2169
2021-06-29;2186
2021-06-30;2186
2021-07-01;2246
2021-07-02;2246
2021-07-03;2256
2021-07-04;2256
2021-07-05;2279
2021-07-06;2342
2021-07-07;2359
2021-07-08;2402
2021-07-09;2402
2021-07-10;2431
2021-07-11;2431
2021-07-12;2437
2021-07-13;2509
2021-07-14;2534
2021-07-15;2567
2021-07-16;2600
2021-07-17;2600
2021-07-18;2600
2021-07-19;2630
2021-07-20;2648
2021-07-21;2655
2021-07-22;2665
