index;count
2021-05-04;166
2021-05-05;235
2021-05-06;258
2021-05-07;274
2021-05-08;274
2021-05-09;274
2021-05-10;280
2021-05-11;283
2021-05-12;284
2021-05-13;300
2021-05-14;301
2021-05-15;301
2021-05-16;301
2021-05-17;302
2021-05-18;319
2021-05-19;319
2021-05-20;338
2021-05-21;485
2021-05-22;485
2021-05-23;485
2021-05-24;569
2021-05-25;573
2021-05-26;576
2021-05-27;576
2021-05-28;576
2021-05-29;576
2021-05-30;576
2021-05-31;576
2021-06-01;576
2021-06-02;576
2021-06-03;576
2021-06-04;576
2021-06-05;576
2021-06-06;576
2021-06-07;576
2021-06-08;576
2021-06-09;576
2021-06-10;576
2021-06-11;576
2021-06-12;576
2021-06-13;576
2021-06-14;576
2021-06-15;576
2021-06-16;698
2021-06-17;800
2021-06-18;853
2021-06-19;853
2021-06-20;853
2021-06-21;1010
2021-06-22;1089
2021-06-23;1138
2021-06-24;1138
2021-06-25;1138
2021-06-26;1138
2021-06-27;1138
2021-06-28;1200
2021-06-29;1200
2021-06-30;1200
2021-07-01;1200
2021-07-02;1200
2021-07-03;1200
2021-07-04;1200
2021-07-05;1233
2021-07-06;1302
2021-07-07;1302
2021-07-08;1316
2021-07-09;1332
2021-07-10;1332
2021-07-11;1332
2021-07-12;1435
2021-07-13;1556
2021-07-14;1559
2021-07-15;1694
2021-07-16;1762
2021-07-17;1762
2021-07-18;1762
2021-07-19;1814
2021-07-20;1895
2021-07-21;1899
2021-07-22;1925
2021-07-23;1951
