index;count
2021-05-24;81
2021-05-25;122
2021-05-26;159
2021-05-27;201
2021-05-28;201
2021-05-29;201
2021-05-30;201
2021-05-31;221
2021-06-01;231
2021-06-02;231
2021-06-03;231
2021-06-04;231
2021-06-05;231
2021-06-06;231
2021-06-07;231
2021-06-08;231
2021-06-09;231
2021-06-10;232
2021-06-11;232
2021-06-12;232
2021-06-13;232
2021-06-14;232
2021-06-15;324
2021-06-16;429
2021-06-17;508
2021-06-18;585
2021-06-19;585
2021-06-20;585
2021-06-21;593
2021-06-22;693
2021-06-23;793
2021-06-24;793
2021-06-25;793
2021-06-26;793
2021-06-27;793
2021-06-28;832
2021-06-29;834
2021-06-30;834
2021-07-01;834
2021-07-02;1001
2021-07-03;1001
2021-07-04;1001
2021-07-05;1024
2021-07-06;1024
2021-07-07;1040
2021-07-08;1040
2021-07-09;1040
2021-07-10;1040
2021-07-11;1040
2021-07-12;1263
2021-07-13;1350
2021-07-14;1350
2021-07-15;1400
2021-07-16;1428
2021-07-17;1429
2021-07-18;1429
2021-07-19;1484
2021-07-20;1641
2021-07-21;1706
2021-07-22;1715
2021-07-23;1727
