index;count
2021-05-24;10
2021-05-25;30
2021-05-26;40
2021-05-27;40
2021-05-28;52
2021-05-29;52
2021-05-30;52
2021-05-31;124
2021-06-01;149
2021-06-02;152
2021-06-03;152
2021-06-04;152
2021-06-05;152
2021-06-06;152
2021-06-07;152
2021-06-08;152
2021-06-09;152
2021-06-10;152
2021-06-11;152
2021-06-12;152
2021-06-13;152
2021-06-14;152
2021-06-15;249
2021-06-16;404
2021-06-17;458
2021-06-18;458
2021-06-19;581
2021-06-20;581
2021-06-21;627
2021-06-22;663
2021-06-23;663
2021-06-24;663
2021-06-25;663
2021-06-26;663
2021-06-27;663
2021-06-28;663
2021-06-29;665
2021-06-30;665
2021-07-01;665
2021-07-02;665
2021-07-03;665
2021-07-04;665
2021-07-05;665
2021-07-06;665
2021-07-07;665
2021-07-08;665
2021-07-09;665
2021-07-10;665
2021-07-11;665
2021-07-12;732
2021-07-13;745
2021-07-14;754
2021-07-15;835
2021-07-16;857
2021-07-17;857
2021-07-18;857
2021-07-19;891
2021-07-20;977
2021-07-21;1024
2021-07-22;1043
