index;count
2021-05-04;1
2021-05-05;1
2021-05-06;1
2021-05-07;1
2021-05-08;1
2021-05-09;1
2021-05-10;1
2021-05-11;1
2021-05-12;1
2021-05-13;1
2021-05-14;1
2021-05-15;1
2021-05-16;1
2021-05-17;1
2021-05-18;1
2021-05-19;1
2021-05-20;1
2021-05-21;20
2021-05-22;21
2021-05-23;21
2021-05-24;28
2021-05-25;35
2021-05-26;52
2021-05-27;60
2021-05-28;70
2021-05-29;70
2021-05-30;70
2021-05-31;77
2021-06-01;88
2021-06-02;88
2021-06-03;88
2021-06-04;88
2021-06-05;88
2021-06-06;88
2021-06-07;88
2021-06-08;88
2021-06-09;88
2021-06-10;97
2021-06-11;97
2021-06-12;97
2021-06-13;97
2021-06-14;97
2021-06-15;117
2021-06-16;117
2021-06-17;207
2021-06-18;211
2021-06-19;249
2021-06-20;249
2021-06-21;312
2021-06-22;360
2021-06-23;360
2021-06-24;360
2021-06-25;360
2021-06-26;360
2021-06-27;360
2021-06-28;360
2021-06-29;360
2021-06-30;360
2021-07-01;360
2021-07-02;360
2021-07-03;360
2021-07-04;360
2021-07-05;360
2021-07-06;360
2021-07-07;360
2021-07-08;360
2021-07-09;360
2021-07-10;360
2021-07-11;411
2021-07-12;456
2021-07-13;479
2021-07-14;479
2021-07-15;479
2021-07-16;480
2021-07-17;480
2021-07-18;480
2021-07-19;485
2021-07-20;486
2021-07-21;496
2021-07-22;500
2021-07-23;519
2021-07-24;524
