index;count
2021-05-04;24
2021-05-05;29
2021-05-06;31
2021-05-07;58
2021-05-08;95
2021-05-09;95
2021-05-10;118
2021-05-11;119
2021-05-12;119
2021-05-13;124
2021-05-14;124
2021-05-15;124
2021-05-16;124
2021-05-17;125
2021-05-18;126
2021-05-19;130
2021-05-20;134
2021-05-21;144
2021-05-22;145
2021-05-23;145
2021-05-24;163
2021-05-25;164
2021-05-26;164
2021-05-27;209
2021-05-28;219
2021-05-29;219
2021-05-30;219
2021-05-31;219
2021-06-01;219
2021-06-02;219
2021-06-03;219
2021-06-04;219
2021-06-05;219
2021-06-06;219
2021-06-07;219
2021-06-08;219
2021-06-09;219
2021-06-10;219
2021-06-11;354
2021-06-12;354
2021-06-13;354
2021-06-14;451
2021-06-15;658
2021-06-16;658
2021-06-17;658
2021-06-18;665
2021-06-19;665
2021-06-20;665
2021-06-21;696
2021-06-22;702
2021-06-23;713
2021-06-24;713
2021-06-25;713
2021-06-26;794
2021-06-27;794
2021-06-28;794
2021-06-29;794
2021-06-30;794
2021-07-01;794
2021-07-02;815
2021-07-03;815
2021-07-04;815
2021-07-05;835
2021-07-06;1056
2021-07-07;1056
2021-07-08;1056
2021-07-09;1056
2021-07-10;1102
2021-07-11;1372
2021-07-12;1394
2021-07-13;1417
2021-07-14;1422
2021-07-15;1445
2021-07-16;1454
2021-07-17;1646
2021-07-18;1671
2021-07-19;1677
2021-07-20;1708
2021-07-21;1710
2021-07-22;1710
2021-07-23;1740
