index;count
2021-05-04;147
2021-05-05;180
2021-05-06;187
2021-05-07;191
2021-05-08;191
2021-05-09;191
2021-05-10;216
2021-05-11;225
2021-05-12;234
2021-05-13;251
2021-05-14;270
2021-05-15;270
2021-05-16;270
2021-05-17;285
2021-05-18;315
2021-05-19;315
2021-05-20;321
2021-05-21;336
2021-05-22;336
2021-05-23;336
2021-05-24;339
2021-05-25;372
2021-05-26;417
2021-05-27;439
2021-05-28;444
2021-05-29;444
2021-05-30;444
2021-05-31;444
2021-06-01;445
2021-06-02;445
2021-06-03;445
2021-06-04;447
2021-06-05;447
2021-06-06;447
2021-06-07;458
2021-06-08;459
2021-06-09;459
2021-06-10;459
2021-06-11;459
2021-06-12;459
2021-06-13;459
2021-06-14;459
2021-06-15;459
2021-06-16;509
2021-06-17;545
2021-06-18;655
2021-06-19;655
2021-06-20;655
2021-06-21;788
2021-06-22;893
2021-06-23;925
2021-06-24;925
2021-06-25;925
2021-06-26;925
2021-06-27;925
2021-06-28;925
2021-06-29;925
2021-06-30;925
2021-07-01;925
2021-07-02;925
2021-07-03;925
2021-07-04;925
2021-07-05;987
2021-07-06;1007
2021-07-07;1022
2021-07-08;1031
2021-07-09;1036
2021-07-10;1036
2021-07-11;1036
2021-07-12;1114
2021-07-13;1178
2021-07-14;1178
2021-07-15;1197
2021-07-16;1208
2021-07-17;1208
2021-07-18;1208
2021-07-19;1228
2021-07-20;1280
2021-07-21;1294
2021-07-22;1295
2021-07-23;1306
