index;count
2021-05-24;17
2021-05-25;19
2021-05-26;40
2021-05-27;59
2021-05-28;87
2021-05-29;87
2021-05-30;87
2021-05-31;97
2021-06-01;113
2021-06-02;120
2021-06-03;120
2021-06-04;130
2021-06-05;130
2021-06-06;130
2021-06-07;130
2021-06-08;130
2021-06-09;130
2021-06-10;130
2021-06-11;130
2021-06-12;130
2021-06-13;130
2021-06-14;130
2021-06-15;150
2021-06-16;240
2021-06-17;290
2021-06-18;291
2021-06-19;291
2021-06-20;291
2021-06-21;342
2021-06-22;441
2021-06-23;473
2021-06-24;473
2021-06-25;473
2021-06-26;473
2021-06-27;473
2021-06-28;493
2021-06-29;493
2021-06-30;493
2021-07-01;493
2021-07-02;493
2021-07-03;493
2021-07-04;493
2021-07-05;494
2021-07-06;499
2021-07-07;524
2021-07-08;538
2021-07-09;555
2021-07-10;555
2021-07-11;555
2021-07-12;619
2021-07-13;696
2021-07-14;696
2021-07-15;712
2021-07-16;719
2021-07-17;719
2021-07-18;719
2021-07-19;851
2021-07-20;879
2021-07-21;884
2021-07-22;890
