index;count
2021-05-04;28
2021-05-05;64
2021-05-06;71
2021-05-07;73
2021-05-08;73
2021-05-09;73
2021-05-10;74
2021-05-11;75
2021-05-12;75
2021-05-13;76
2021-05-14;77
2021-05-15;77
2021-05-16;77
2021-05-17;81
2021-05-18;82
2021-05-19;82
2021-05-20;82
2021-05-21;107
2021-05-22;107
2021-05-23;107
2021-05-24;178
2021-05-25;228
2021-05-26;230
2021-05-27;231
2021-05-28;231
2021-05-29;231
2021-05-30;231
2021-05-31;231
2021-06-01;231
2021-06-02;231
2021-06-03;231
2021-06-04;231
2021-06-05;231
2021-06-06;231
2021-06-07;231
2021-06-08;231
2021-06-09;231
2021-06-10;231
2021-06-11;231
2021-06-12;231
2021-06-13;231
2021-06-14;286
2021-06-15;395
2021-06-16;436
2021-06-17;459
2021-06-18;459
2021-06-19;459
2021-06-20;460
2021-06-21;550
2021-06-22;627
2021-06-23;628
2021-06-24;628
2021-06-25;628
2021-06-26;628
2021-06-27;628
2021-06-28;628
2021-06-29;628
2021-06-30;628
2021-07-01;628
2021-07-02;628
2021-07-03;663
2021-07-04;672
2021-07-05;722
2021-07-06;748
2021-07-07;753
2021-07-08;753
2021-07-09;753
2021-07-10;753
2021-07-11;753
2021-07-12;942
2021-07-13;974
2021-07-14;974
2021-07-15;1010
2021-07-16;1015
2021-07-17;1015
2021-07-18;1015
2021-07-19;1049
2021-07-20;1106
2021-07-21;1138
2021-07-22;1160
