index;count
2021-05-24;2
2021-05-25;2
2021-05-26;3
2021-05-27;3
2021-05-28;4
2021-05-29;4
2021-05-30;4
2021-05-31;4
2021-06-01;4
2021-06-02;4
2021-06-03;4
2021-06-04;4
2021-06-05;4
2021-06-06;4
2021-06-07;4
2021-06-08;4
2021-06-09;4
2021-06-10;4
2021-06-11;4
2021-06-12;4
2021-06-13;4
2021-06-14;4
2021-06-15;4
2021-06-16;4
2021-06-17;4
2021-06-18;76
2021-06-19;76
2021-06-20;76
2021-06-21;109
2021-06-22;150
2021-06-23;155
2021-06-24;155
2021-06-25;155
2021-06-26;155
2021-06-27;155
2021-06-28;155
2021-06-29;155
2021-06-30;155
2021-07-01;155
2021-07-02;155
2021-07-03;234
2021-07-04;234
2021-07-05;234
2021-07-06;234
2021-07-07;234
2021-07-08;234
2021-07-09;234
2021-07-10;234
2021-07-11;234
2021-07-12;234
2021-07-13;275
2021-07-14;371
2021-07-15;395
2021-07-16;405
2021-07-17;405
2021-07-18;405
2021-07-19;406
2021-07-20;426
