index;count
2021-05-04;61
2021-05-05;69
2021-05-06;70
2021-05-07;78
2021-05-08;78
2021-05-09;78
2021-05-10;80
2021-05-11;86
2021-05-12;87
2021-05-13;88
2021-05-14;91
2021-05-15;91
2021-05-16;91
2021-05-17;93
2021-05-18;93
2021-05-19;93
2021-05-20;95
2021-05-21;95
2021-05-22;95
2021-05-23;95
2021-05-24;95
2021-05-25;99
2021-05-26;133
2021-05-27;145
2021-05-28;179
2021-05-29;179
2021-05-30;179
2021-05-31;188
2021-06-01;188
2021-06-02;188
2021-06-03;188
2021-06-04;188
2021-06-05;188
2021-06-06;188
2021-06-07;188
2021-06-08;188
2021-06-09;188
2021-06-10;196
2021-06-11;196
2021-06-12;196
2021-06-13;196
2021-06-14;196
2021-06-15;210
2021-06-16;231
2021-06-17;282
2021-06-18;307
2021-06-19;307
2021-06-20;307
2021-06-21;327
2021-06-22;368
2021-06-23;398
2021-06-24;398
2021-06-25;398
2021-06-26;398
2021-06-27;398
2021-06-28;408
2021-06-29;418
2021-06-30;418
2021-07-01;418
2021-07-02;418
2021-07-03;418
2021-07-04;418
2021-07-05;441
2021-07-06;457
2021-07-07;481
2021-07-08;481
2021-07-09;481
2021-07-10;481
2021-07-11;481
2021-07-12;484
2021-07-13;546
2021-07-14;546
2021-07-15;611
2021-07-16;671
2021-07-17;704
2021-07-18;704
2021-07-19;704
2021-07-20;779
2021-07-21;811
