index;count
2021-05-04;164
2021-05-05;295
2021-05-06;375
2021-05-07;402
2021-05-08;402
2021-05-09;403
2021-05-10;429
2021-05-11;450
2021-05-12;472
2021-05-13;518
2021-05-14;562
2021-05-15;562
2021-05-16;562
2021-05-17;583
2021-05-18;599
2021-05-19;599
2021-05-20;604
2021-05-21;618
2021-05-22;618
2021-05-23;620
2021-05-24;620
2021-05-25;711
2021-05-26;836
2021-05-27;987
2021-05-28;1232
2021-05-29;1232
2021-05-30;1232
2021-05-31;1232
2021-06-01;1232
2021-06-02;1232
2021-06-03;1233
2021-06-04;1237
2021-06-05;1237
2021-06-06;1237
2021-06-07;1304
2021-06-08;1390
2021-06-09;1489
2021-06-10;1517
2021-06-11;1534
2021-06-12;1534
2021-06-13;1534
2021-06-14;1563
2021-06-15;1563
2021-06-16;1571
2021-06-17;1697
2021-06-18;1811
2021-06-19;2337
2021-06-20;2965
2021-06-21;2966
2021-06-22;2966
2021-06-23;2973
2021-06-24;2973
2021-06-25;2973
2021-06-26;2973
2021-06-27;2973
2021-06-28;2976
2021-06-29;2976
2021-06-30;2976
2021-07-01;2976
2021-07-02;2976
2021-07-03;2976
2021-07-04;2976
2021-07-05;3040
2021-07-06;3140
2021-07-07;3209
2021-07-08;3214
2021-07-09;3215
2021-07-10;3215
2021-07-11;3291
2021-07-12;3298
2021-07-13;3301
2021-07-14;3301
2021-07-15;3301
2021-07-16;3361
2021-07-17;3361
2021-07-18;3361
2021-07-19;3365
2021-07-20;3365
2021-07-21;3365
2021-07-22;3365
2021-07-23;3367
