Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;137
1ªDose;2021-01-25;128
1ªDose;2021-01-26;121
1ªDose;2021-01-27;236
1ªDose;2021-01-28;236
1ªDose;2021-01-29;113
1ªDose;2021-01-30;10
1ªDose;2021-02-02;29
1ªDose;2021-02-03;70
1ªDose;2021-02-04;33
1ªDose;2021-02-05;8
1ªDose;2021-02-08;2
1ªDose;2021-02-09;33
1ªDose;2021-02-10;51
1ªDose;2021-02-11;23
1ªDose;2021-02-12;13
1ªDose;2021-02-13;8
1ªDose;2021-02-15;3
1ªDose;2021-02-16;3
1ªDose;2021-02-17;23
1ªDose;2021-02-18;11
1ªDose;2021-02-23;14
1ªDose;2021-02-24;20
1ªDose;2021-02-25;1
1ªDose;2021-02-26;12
1ªDose;2021-03-01;12
1ªDose;2021-03-02;60
1ªDose;2021-03-03;21
1ªDose;2021-03-04;25
1ªDose;2021-03-05;20
1ªDose;2021-03-08;24
1ªDose;2021-03-09;66
1ªDose;2021-03-10;62
1ªDose;2021-03-11;47
1ªDose;2021-03-12;10
1ªDose;2021-03-15;105
1ªDose;2021-03-16;90
1ªDose;2021-03-17;56
1ªDose;2021-03-18;145
1ªDose;2021-03-19;21
1ªDose;2021-03-22;24
1ªDose;2021-03-23;47
1ªDose;2021-03-24;70
1ªDose;2021-03-25;49
1ªDose;2021-03-26;20
1ªDose;2021-03-29;100
1ªDose;2021-03-30;97
1ªDose;2021-03-31;41
1ªDose;2021-04-05;99
1ªDose;2021-04-06;67
1ªDose;2021-04-07;8
1ªDose;2021-04-09;1
1ªDose;2021-04-12;60
1ªDose;2021-04-13;20
1ªDose;2021-04-14;11
1ªDose;2021-04-15;17
1ªDose;2021-04-16;6
1ªDose;2021-04-19;43
1ªDose;2021-04-20;94
1ªDose;2021-04-21;1
1ªDose;2021-04-22;55
1ªDose;2021-04-23;19
1ªDose;2021-04-26;55
1ªDose;2021-04-27;14
1ªDose;2021-04-28;14
1ªDose;2021-04-29;10
2ªDose;2021-02-16;1
2ªDose;2021-02-17;23
2ªDose;2021-02-18;19
2ªDose;2021-02-19;162
2ªDose;2021-02-20;4
2ªDose;2021-02-22;130
2ªDose;2021-02-23;93
2ªDose;2021-02-24;164
2ªDose;2021-02-25;98
2ªDose;2021-02-26;122
2ªDose;2021-03-01;2
2ªDose;2021-03-02;65
2ªDose;2021-03-03;37
2ªDose;2021-03-04;43
2ªDose;2021-03-05;15
2ªDose;2021-03-08;7
2ªDose;2021-03-09;126
2ªDose;2021-03-10;46
2ªDose;2021-03-11;29
2ªDose;2021-03-12;13
2ªDose;2021-03-15;23
2ªDose;2021-03-16;17
2ªDose;2021-03-17;17
2ªDose;2021-03-18;20
2ªDose;2021-03-19;7
2ªDose;2021-03-22;3
2ªDose;2021-03-23;12
2ªDose;2021-03-24;12
2ªDose;2021-03-25;14
2ªDose;2021-03-26;11
2ªDose;2021-03-29;13
2ªDose;2021-03-30;1
2ªDose;2021-03-31;1
2ªDose;2021-04-01;1
2ªDose;2021-04-05;35
2ªDose;2021-04-06;69
2ªDose;2021-04-07;41
2ªDose;2021-04-08;62
2ªDose;2021-04-09;10
2ªDose;2021-04-12;86
2ªDose;2021-04-13;89
2ªDose;2021-04-14;64
2ªDose;2021-04-15;129
2ªDose;2021-04-16;30
2ªDose;2021-04-19;44
2ªDose;2021-04-20;12
2ªDose;2021-04-22;40
2ªDose;2021-04-23;2
2ªDose;2021-04-26;12
2ªDose;2021-04-27;39
2ªDose;2021-04-28;24
2ªDose;2021-04-29;7
