Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;12
1ªDose;2021-01-21;30
1ªDose;2021-01-22;13
1ªDose;2021-01-25;45
1ªDose;2021-02-01;61
1ªDose;2021-02-03;10
1ªDose;2021-02-08;10
1ªDose;2021-02-09;38
1ªDose;2021-02-10;33
1ªDose;2021-02-11;10
1ªDose;2021-02-12;12
1ªDose;2021-02-17;37
1ªDose;2021-02-18;28
1ªDose;2021-02-19;10
1ªDose;2021-02-22;1
1ªDose;2021-03-02;1
1ªDose;2021-03-04;23
1ªDose;2021-03-05;30
1ªDose;2021-03-06;13
1ªDose;2021-03-08;16
1ªDose;2021-03-09;30
1ªDose;2021-03-10;29
1ªDose;2021-03-11;2
1ªDose;2021-03-12;243
1ªDose;2021-03-13;3
1ªDose;2021-03-15;9
1ªDose;2021-03-16;20
1ªDose;2021-03-17;18
1ªDose;2021-03-18;140
1ªDose;2021-03-19;80
1ªDose;2021-03-20;59
1ªDose;2021-03-22;36
1ªDose;2021-03-23;134
1ªDose;2021-03-24;95
1ªDose;2021-03-25;55
1ªDose;2021-03-27;19
1ªDose;2021-03-29;182
1ªDose;2021-03-30;135
1ªDose;2021-03-31;28
1ªDose;2021-04-05;85
1ªDose;2021-04-06;141
1ªDose;2021-04-07;63
1ªDose;2021-04-08;18
1ªDose;2021-04-09;65
1ªDose;2021-04-12;1
1ªDose;2021-04-14;1
2ªDose;2021-02-16;44
2ªDose;2021-02-17;26
2ªDose;2021-02-18;4
2ªDose;2021-02-19;14
2ªDose;2021-02-22;17
2ªDose;2021-02-23;10
2ªDose;2021-03-01;18
2ªDose;2021-03-02;32
2ªDose;2021-03-03;14
2ªDose;2021-03-04;7
2ªDose;2021-03-08;10
2ªDose;2021-03-09;29
2ªDose;2021-03-10;28
2ªDose;2021-03-11;21
2ªDose;2021-03-15;10
2ªDose;2021-03-16;21
2ªDose;2021-03-17;18
2ªDose;2021-03-18;27
2ªDose;2021-03-19;1
2ªDose;2021-03-22;10
2ªDose;2021-03-23;2
2ªDose;2021-03-29;1
2ªDose;2021-03-30;8
2ªDose;2021-03-31;36
2ªDose;2021-04-05;11
2ªDose;2021-04-06;17
2ªDose;2021-04-07;29
2ªDose;2021-04-08;66
2ªDose;2021-04-09;170
2ªDose;2021-04-12;17
2ªDose;2021-04-14;37
2ªDose;2021-04-15;69
2ªDose;2021-04-16;115
2ªDose;2021-04-17;48
2ªDose;2021-04-19;82
2ªDose;2021-04-20;106
2ªDose;2021-04-22;48
2ªDose;2021-04-23;37
2ªDose;2021-04-26;90
2ªDose;2021-04-27;102
2ªDose;2021-04-28;1
2ªDose;2021-04-29;35
