Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-20;1
1ªDose;2021-01-21;3
1ªDose;2021-01-22;2
1ªDose;2021-02-01;19
1ªDose;2021-02-02;30
1ªDose;2021-02-03;16
1ªDose;2021-02-08;18
1ªDose;2021-02-09;121
1ªDose;2021-02-10;44
1ªDose;2021-02-11;76
1ªDose;2021-02-12;7
1ªDose;2021-02-15;1
1ªDose;2021-02-18;9
1ªDose;2021-03-02;2
1ªDose;2021-03-03;1
1ªDose;2021-03-04;77
1ªDose;2021-03-05;48
1ªDose;2021-03-08;29
1ªDose;2021-03-09;8
1ªDose;2021-03-10;17
1ªDose;2021-03-11;43
1ªDose;2021-03-12;91
1ªDose;2021-03-15;103
1ªDose;2021-03-16;180
1ªDose;2021-03-17;94
1ªDose;2021-03-18;155
1ªDose;2021-03-19;75
1ªDose;2021-03-20;84
1ªDose;2021-03-22;159
1ªDose;2021-03-23;158
1ªDose;2021-03-24;91
1ªDose;2021-03-25;61
1ªDose;2021-03-26;19
1ªDose;2021-03-29;405
1ªDose;2021-04-01;4
1ªDose;2021-04-03;41
1ªDose;2021-04-05;195
1ªDose;2021-04-06;37
1ªDose;2021-04-07;7
1ªDose;2021-04-08;1
1ªDose;2021-04-09;39
2ªDose;2021-02-15;52
2ªDose;2021-02-16;12
2ªDose;2021-02-17;95
2ªDose;2021-02-18;55
2ªDose;2021-02-19;24
2ªDose;2021-02-22;1
2ªDose;2021-02-23;1
2ªDose;2021-02-24;4
2ªDose;2021-03-01;20
2ªDose;2021-03-02;28
2ªDose;2021-03-03;16
2ªDose;2021-03-04;1
2ªDose;2021-03-05;2
2ªDose;2021-03-08;17
2ªDose;2021-03-09;108
2ªDose;2021-03-10;46
2ªDose;2021-03-11;51
2ªDose;2021-03-12;23
2ªDose;2021-03-15;6
2ªDose;2021-03-17;1
2ªDose;2021-03-18;11
2ªDose;2021-03-19;2
2ªDose;2021-03-23;1
2ªDose;2021-03-24;2
2ªDose;2021-03-31;50
2ªDose;2021-04-01;44
2ªDose;2021-04-03;2
2ªDose;2021-04-05;46
2ªDose;2021-04-06;15
2ªDose;2021-04-07;36
2ªDose;2021-04-08;51
2ªDose;2021-04-09;65
2ªDose;2021-04-10;1
2ªDose;2021-04-12;95
2ªDose;2021-04-13;150
2ªDose;2021-04-14;142
2ªDose;2021-04-15;123
2ªDose;2021-04-16;66
2ªDose;2021-04-17;68
2ªDose;2021-04-19;155
2ªDose;2021-04-22;50
2ªDose;2021-04-23;29
2ªDose;2021-04-26;73
2ªDose;2021-04-28;1
