Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;1
1ªDose;2021-02-02;10
1ªDose;2021-02-03;10
1ªDose;2021-02-04;10
1ªDose;2021-02-05;1
1ªDose;2021-02-08;4
1ªDose;2021-02-15;10
1ªDose;2021-02-22;10
1ªDose;2021-02-24;1
1ªDose;2021-03-02;64
1ªDose;2021-03-03;52
1ªDose;2021-03-04;20
1ªDose;2021-03-20;1
1ªDose;2021-03-23;43
1ªDose;2021-03-24;144
1ªDose;2021-03-29;41
1ªDose;2021-03-30;79
1ªDose;2021-04-08;60
1ªDose;2021-04-09;22
1ªDose;2021-04-13;73
1ªDose;2021-04-14;11
1ªDose;2021-04-21;43
1ªDose;2021-04-22;100
1ªDose;2021-04-27;2
1ªDose;2021-04-28;68
2ªDose;2021-04-21;1
