Dose Aplicada;Data;Quantidade
1ªDose;2021-01-27;17
1ªDose;2021-02-01;10
1ªDose;2021-02-08;1
1ªDose;2021-02-15;10
1ªDose;2021-03-03;9
1ªDose;2021-03-05;18
1ªDose;2021-03-08;39
1ªDose;2021-03-09;21
1ªDose;2021-03-10;28
1ªDose;2021-03-11;19
1ªDose;2021-03-12;19
1ªDose;2021-03-26;15
1ªDose;2021-03-29;10
1ªDose;2021-03-30;87
1ªDose;2021-03-31;76
1ªDose;2021-04-06;33
1ªDose;2021-04-07;20
1ªDose;2021-04-08;8
1ªDose;2021-04-09;17
1ªDose;2021-04-13;18
1ªDose;2021-04-14;8
1ªDose;2021-04-15;5
1ªDose;2021-04-16;5
1ªDose;2021-04-20;5
1ªDose;2021-04-26;9
1ªDose;2021-04-28;10
2ªDose;2021-04-06;1
2ªDose;2021-04-07;1
