Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;6
1ªDose;2021-01-20;1
1ªDose;2021-01-21;1
1ªDose;2021-01-27;33
1ªDose;2021-01-28;15
1ªDose;2021-02-02;16
1ªDose;2021-02-03;31
1ªDose;2021-02-04;14
1ªDose;2021-02-05;5
1ªDose;2021-02-09;18
1ªDose;2021-02-10;25
1ªDose;2021-02-11;12
1ªDose;2021-02-12;11
1ªDose;2021-02-16;7
1ªDose;2021-02-17;6
1ªDose;2021-02-20;1
1ªDose;2021-02-24;5
1ªDose;2021-02-25;41
1ªDose;2021-03-01;1
1ªDose;2021-03-02;33
1ªDose;2021-03-03;44
1ªDose;2021-03-04;44
1ªDose;2021-03-05;3
1ªDose;2021-03-08;47
1ªDose;2021-03-09;43
1ªDose;2021-03-10;8
1ªDose;2021-03-12;57
1ªDose;2021-03-15;114
1ªDose;2021-03-16;109
1ªDose;2021-03-17;33
1ªDose;2021-03-18;66
1ªDose;2021-03-19;192
1ªDose;2021-03-21;1
1ªDose;2021-03-22;71
1ªDose;2021-03-23;110
1ªDose;2021-03-24;156
1ªDose;2021-03-25;96
1ªDose;2021-03-26;147
1ªDose;2021-03-29;315
1ªDose;2021-03-30;205
1ªDose;2021-03-31;84
1ªDose;2021-04-02;1
1ªDose;2021-04-05;220
1ªDose;2021-04-06;144
1ªDose;2021-04-07;31
1ªDose;2021-04-08;8
1ªDose;2021-04-09;4
1ªDose;2021-04-12;67
1ªDose;2021-04-13;26
1ªDose;2021-04-14;24
1ªDose;2021-04-15;25
1ªDose;2021-04-16;24
1ªDose;2021-04-19;91
1ªDose;2021-04-20;94
1ªDose;2021-04-22;23
1ªDose;2021-04-23;22
1ªDose;2021-04-26;19
1ªDose;2021-04-27;52
1ªDose;2021-04-28;14
1ªDose;2021-04-30;11
2ªDose;2021-02-03;1
2ªDose;2021-02-16;5
2ªDose;2021-02-19;1
2ªDose;2021-02-20;1
2ªDose;2021-02-21;1
2ªDose;2021-02-23;1
2ªDose;2021-03-02;6
2ªDose;2021-03-03;3
2ªDose;2021-03-04;46
2ªDose;2021-03-05;10
2ªDose;2021-03-08;1
2ªDose;2021-03-09;13
2ªDose;2021-03-10;28
2ªDose;2021-03-12;8
2ªDose;2021-03-15;3
2ªDose;2021-03-16;8
2ªDose;2021-03-17;6
2ªDose;2021-03-18;1
2ªDose;2021-03-19;1
2ªDose;2021-03-23;1
2ªDose;2021-03-24;13
2ªDose;2021-03-25;41
2ªDose;2021-03-26;8
2ªDose;2021-03-29;3
2ªDose;2021-04-05;56
2ªDose;2021-04-06;86
2ªDose;2021-04-07;3
2ªDose;2021-04-09;13
2ªDose;2021-04-12;198
2ªDose;2021-04-13;54
2ªDose;2021-04-14;88
2ªDose;2021-04-15;21
2ªDose;2021-04-16;83
2ªDose;2021-04-19;59
2ªDose;2021-04-20;1
2ªDose;2021-04-22;52
2ªDose;2021-04-23;86
2ªDose;2021-04-26;88
2ªDose;2021-04-28;42
2ªDose;2021-04-29;4
2ªDose;2021-04-30;27
