Dose Aplicada;Data;Quantidade
1ªDose;2021-01-26;1
1ªDose;2021-02-01;19
1ªDose;2021-02-03;38
1ªDose;2021-02-04;13
1ªDose;2021-02-05;33
1ªDose;2021-02-09;84
1ªDose;2021-02-10;10
1ªDose;2021-02-11;12
1ªDose;2021-02-26;1
1ªDose;2021-03-02;1
1ªDose;2021-03-05;23
1ªDose;2021-03-08;24
1ªDose;2021-03-09;6
1ªDose;2021-03-10;15
1ªDose;2021-03-11;22
1ªDose;2021-03-12;114
1ªDose;2021-03-13;110
1ªDose;2021-03-15;50
1ªDose;2021-03-16;10
1ªDose;2021-03-18;95
1ªDose;2021-03-19;118
1ªDose;2021-03-22;40
1ªDose;2021-03-23;19
1ªDose;2021-03-24;53
1ªDose;2021-03-25;80
1ªDose;2021-03-29;81
1ªDose;2021-03-30;86
1ªDose;2021-03-31;44
1ªDose;2021-04-01;29
1ªDose;2021-04-05;112
1ªDose;2021-04-06;28
1ªDose;2021-04-07;36
1ªDose;2021-04-08;4
1ªDose;2021-04-12;1
1ªDose;2021-04-19;4
1ªDose;2021-04-23;2
1ªDose;2021-04-26;6
1ªDose;2021-04-27;18
2ªDose;2021-02-18;36
2ªDose;2021-02-19;15
2ªDose;2021-02-24;1
2ªDose;2021-03-02;8
2ªDose;2021-03-03;18
2ªDose;2021-03-04;20
2ªDose;2021-03-05;28
2ªDose;2021-03-08;6
2ªDose;2021-03-09;72
2ªDose;2021-03-10;27
2ªDose;2021-03-11;19
2ªDose;2021-03-12;1
2ªDose;2021-03-30;1
2ªDose;2021-04-05;35
2ªDose;2021-04-06;1
2ªDose;2021-04-07;8
2ªDose;2021-04-08;15
2ªDose;2021-04-09;69
2ªDose;2021-04-10;19
2ªDose;2021-04-12;155
2ªDose;2021-04-13;17
2ªDose;2021-04-15;34
2ªDose;2021-04-16;111
2ªDose;2021-04-19;13
2ªDose;2021-04-20;91
2ªDose;2021-04-22;26
2ªDose;2021-04-23;45
2ªDose;2021-04-26;84
2ªDose;2021-04-27;48
2ªDose;2021-04-28;36
2ªDose;2021-04-29;28
