Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;9
1ªDose;2021-02-25;31
1ªDose;2021-03-03;4
1ªDose;2021-03-04;2
1ªDose;2021-03-05;114
1ªDose;2021-03-12;1
1ªDose;2021-03-22;74
1ªDose;2021-03-23;69
1ªDose;2021-03-24;24
1ªDose;2021-03-29;124
1ªDose;2021-03-30;45
1ªDose;2021-03-31;13
1ªDose;2021-04-07;16
1ªDose;2021-04-09;52
1ªDose;2021-04-12;29
1ªDose;2021-04-13;5
1ªDose;2021-04-14;21
1ªDose;2021-04-15;1
1ªDose;2021-04-19;156
1ªDose;2021-04-20;15
1ªDose;2021-04-22;4
1ªDose;2021-04-23;67
1ªDose;2021-04-26;230
1ªDose;2021-04-27;6
2ªDose;2021-03-05;2
2ªDose;2021-04-19;1
2ªDose;2021-04-23;1
2ªDose;2021-04-26;9
