index;count
2021-05-05;6
2021-05-06;6
2021-05-07;6
2021-05-08;6
2021-05-09;6
2021-05-10;21
2021-05-11;21
2021-05-12;21
2021-05-13;21
2021-05-14;22
2021-05-15;22
2021-05-16;22
2021-05-17;31
2021-05-18;31
2021-05-19;31
2021-05-20;31
2021-05-21;66
2021-05-22;66
2021-05-23;66
2021-05-24;82
2021-05-25;102
2021-05-26;145
2021-05-27;161
2021-05-28;161
2021-05-29;161
2021-05-30;161
2021-05-31;196
2021-06-01;314
2021-06-02;324
2021-06-03;324
2021-06-04;324
2021-06-05;324
2021-06-06;324
2021-06-07;324
2021-06-08;324
2021-06-09;324
2021-06-10;324
2021-06-11;324
2021-06-12;324
2021-06-13;324
2021-06-14;324
2021-06-15;324
2021-06-16;324
2021-06-17;324
2021-06-18;324
2021-06-19;324
2021-06-20;324
2021-06-21;324
2021-06-22;324
2021-06-23;324
2021-06-24;324
2021-06-25;324
2021-06-26;324
2021-06-27;324
2021-06-28;324
2021-06-29;324
2021-06-30;324
2021-07-01;324
2021-07-02;324
2021-07-03;324
2021-07-04;324
2021-07-05;324
2021-07-06;429
2021-07-07;443
2021-07-08;467
2021-07-09;478
2021-07-10;485
2021-07-11;485
2021-07-12;495
2021-07-13;509
2021-07-14;509
2021-07-15;569
2021-07-16;663
2021-07-17;663
2021-07-18;663
2021-07-19;717
2021-07-20;782
2021-07-21;857
2021-07-22;958
2021-07-23;967
