index;count
2021-05-04;11
2021-05-05;27
2021-05-06;81
2021-05-07;83
2021-05-08;107
2021-05-09;168
2021-05-10;176
2021-05-11;188
2021-05-12;189
2021-05-13;189
2021-05-14;189
2021-05-15;200
2021-05-16;200
2021-05-17;212
2021-05-18;221
2021-05-19;221
2021-05-20;290
2021-05-21;336
2021-05-22;372
2021-05-23;372
2021-05-24;410
2021-05-25;449
2021-05-26;494
2021-05-27;544
2021-05-28;554
2021-05-29;573
2021-05-30;573
2021-05-31;573
2021-06-01;573
2021-06-02;573
2021-06-03;573
2021-06-04;573
2021-06-05;573
2021-06-06;573
2021-06-07;573
2021-06-08;574
2021-06-09;574
2021-06-10;574
2021-06-11;574
2021-06-12;574
2021-06-13;574
2021-06-14;574
2021-06-15;574
2021-06-16;574
2021-06-17;574
2021-06-18;574
2021-06-19;574
2021-06-20;574
2021-06-21;574
2021-06-22;574
2021-06-23;574
2021-06-24;574
2021-06-25;574
2021-06-26;574
2021-06-27;574
2021-06-28;574
2021-06-29;574
2021-06-30;574
2021-07-01;574
2021-07-02;574
2021-07-03;576
2021-07-04;576
2021-07-05;652
2021-07-06;776
2021-07-07;799
2021-07-08;799
2021-07-09;799
2021-07-10;927
2021-07-11;927
2021-07-12;1068
2021-07-13;1339
2021-07-14;1408
2021-07-15;1436
2021-07-16;1443
2021-07-17;1545
2021-07-18;1592
2021-07-19;1699
2021-07-20;1729
2021-07-21;1738
