Dose Aplicada;Data;Quantidade
1ªDose;2021-01-17;1
1ªDose;2021-01-20;26
1ªDose;2021-01-21;16
1ªDose;2021-01-26;10
1ªDose;2021-02-01;27
1ªDose;2021-02-02;13
1ªDose;2021-02-04;20
1ªDose;2021-02-05;31
1ªDose;2021-02-09;21
1ªDose;2021-02-10;30
1ªDose;2021-02-16;16
1ªDose;2021-02-17;33
1ªDose;2021-02-19;15
1ªDose;2021-02-22;1
1ªDose;2021-02-24;1
1ªDose;2021-03-02;53
1ªDose;2021-03-03;50
1ªDose;2021-03-04;85
1ªDose;2021-03-05;10
1ªDose;2021-03-08;10
1ªDose;2021-03-09;2
1ªDose;2021-03-10;1
1ªDose;2021-03-11;72
1ªDose;2021-03-12;29
1ªDose;2021-03-15;20
1ªDose;2021-03-16;49
1ªDose;2021-03-17;24
1ªDose;2021-03-19;1
1ªDose;2021-03-22;51
1ªDose;2021-03-23;124
1ªDose;2021-03-24;124
1ªDose;2021-03-29;139
1ªDose;2021-03-30;150
1ªDose;2021-03-31;325
1ªDose;2021-04-05;97
1ªDose;2021-04-06;216
1ªDose;2021-04-07;66
1ªDose;2021-04-08;1
1ªDose;2021-04-10;2
1ªDose;2021-04-12;18
1ªDose;2021-04-13;58
1ªDose;2021-04-14;69
1ªDose;2021-04-15;30
1ªDose;2021-04-16;62
1ªDose;2021-04-19;2
1ªDose;2021-04-20;89
1ªDose;2021-04-21;62
1ªDose;2021-04-22;45
1ªDose;2021-04-26;31
1ªDose;2021-04-27;57
1ªDose;2021-04-28;57
1ªDose;2021-04-29;71
1ªDose;2021-04-30;20
2ªDose;2021-02-15;21
2ªDose;2021-02-16;15
2ªDose;2021-02-17;15
2ªDose;2021-02-19;6
2ªDose;2021-02-22;2
2ªDose;2021-02-24;6
2ªDose;2021-02-25;1
2ªDose;2021-03-02;1
2ªDose;2021-03-09;2
2ªDose;2021-03-10;34
2ªDose;2021-03-11;16
2ªDose;2021-03-12;12
2ªDose;2021-03-15;1
2ªDose;2021-03-19;1
2ªDose;2021-03-24;1
2ªDose;2021-03-29;2
2ªDose;2021-03-30;32
2ªDose;2021-03-31;12
2ªDose;2021-04-05;20
2ªDose;2021-04-06;66
2ªDose;2021-04-07;86
2ªDose;2021-04-08;60
2ªDose;2021-04-10;43
2ªDose;2021-04-12;126
2ªDose;2021-04-13;116
2ªDose;2021-04-14;152
2ªDose;2021-04-15;160
2ªDose;2021-04-16;110
2ªDose;2021-04-19;19
2ªDose;2021-04-20;125
2ªDose;2021-04-21;30
2ªDose;2021-04-22;33
2ªDose;2021-04-26;8
2ªDose;2021-04-27;36
2ªDose;2021-04-28;17
2ªDose;2021-04-29;20
2ªDose;2021-04-30;1
