Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-21;11
1ªDose;2021-01-22;3
1ªDose;2021-01-25;27
1ªDose;2021-01-26;4
1ªDose;2021-01-27;7
1ªDose;2021-01-28;3
1ªDose;2021-01-29;7
1ªDose;2021-02-01;3
1ªDose;2021-02-02;16
1ªDose;2021-02-03;8
1ªDose;2021-02-04;10
1ªDose;2021-02-05;1
1ªDose;2021-02-08;21
1ªDose;2021-02-09;2
1ªDose;2021-02-10;9
1ªDose;2021-02-11;3
1ªDose;2021-02-12;1
1ªDose;2021-02-15;34
1ªDose;2021-02-23;10
1ªDose;2021-02-25;10
1ªDose;2021-03-01;10
1ªDose;2021-03-09;28
1ªDose;2021-03-10;10
1ªDose;2021-03-12;11
1ªDose;2021-03-15;60
1ªDose;2021-03-16;31
1ªDose;2021-03-17;52
1ªDose;2021-03-18;30
1ªDose;2021-03-19;10
1ªDose;2021-03-20;70
1ªDose;2021-03-22;31
1ªDose;2021-03-23;11
1ªDose;2021-03-24;197
1ªDose;2021-03-25;153
1ªDose;2021-03-30;208
1ªDose;2021-03-31;77
1ªDose;2021-04-05;38
1ªDose;2021-04-06;104
1ªDose;2021-04-07;61
1ªDose;2021-04-08;6
1ªDose;2021-04-12;56
1ªDose;2021-04-20;3
2ªDose;2021-02-22;5
2ªDose;2021-03-02;1
2ªDose;2021-04-05;9
2ªDose;2021-04-12;32
2ªDose;2021-04-13;18
2ªDose;2021-04-15;41
2ªDose;2021-04-22;38
