Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;106
1ªDose;2021-01-22;191
1ªDose;2021-01-25;14
1ªDose;2021-01-26;51
1ªDose;2021-01-27;96
1ªDose;2021-01-28;25
1ªDose;2021-01-29;29
1ªDose;2021-02-01;5
1ªDose;2021-02-02;26
1ªDose;2021-02-03;2
1ªDose;2021-02-04;4
1ªDose;2021-02-05;11
1ªDose;2021-02-08;1
1ªDose;2021-02-09;31
1ªDose;2021-02-10;31
1ªDose;2021-02-11;186
1ªDose;2021-02-12;2
1ªDose;2021-02-15;44
1ªDose;2021-02-17;22
1ªDose;2021-02-21;1
1ªDose;2021-02-22;4
1ªDose;2021-03-01;79
1ªDose;2021-03-03;18
1ªDose;2021-03-08;2
1ªDose;2021-03-09;149
1ªDose;2021-03-10;48
1ªDose;2021-03-11;4
1ªDose;2021-03-12;58
1ªDose;2021-03-15;29
1ªDose;2021-03-16;26
1ªDose;2021-03-18;136
1ªDose;2021-03-22;17
1ªDose;2021-03-23;158
1ªDose;2021-03-24;304
1ªDose;2021-03-29;48
1ªDose;2021-03-30;152
1ªDose;2021-03-31;19
1ªDose;2021-04-05;18
1ªDose;2021-04-06;1
1ªDose;2021-04-07;1
1ªDose;2021-04-08;79
1ªDose;2021-04-09;10
1ªDose;2021-04-13;2
1ªDose;2021-04-19;17
1ªDose;2021-04-20;1
2ªDose;2021-02-18;94
2ªDose;2021-02-19;90
2ªDose;2021-02-22;9
2ªDose;2021-02-23;64
2ªDose;2021-02-24;4
2ªDose;2021-02-25;137
2ªDose;2021-02-26;39
2ªDose;2021-03-01;1
2ªDose;2021-03-02;1
2ªDose;2021-03-03;2
2ªDose;2021-03-04;41
2ªDose;2021-03-05;11
2ªDose;2021-03-09;69
2ªDose;2021-03-11;158
2ªDose;2021-03-12;1
2ªDose;2021-03-16;55
2ªDose;2021-03-18;3
2ªDose;2021-03-23;8
2ªDose;2021-03-24;17
2ªDose;2021-03-29;105
2ªDose;2021-03-30;6
2ªDose;2021-03-31;1
2ªDose;2021-04-05;29
2ªDose;2021-04-06;53
2ªDose;2021-04-07;77
2ªDose;2021-04-08;3
2ªDose;2021-04-09;23
2ªDose;2021-04-12;21
2ªDose;2021-04-13;31
2ªDose;2021-04-14;1
2ªDose;2021-04-15;50
2ªDose;2021-04-19;12
2ªDose;2021-04-20;93
2ªDose;2021-04-22;113
2ªDose;2021-04-23;29
2ªDose;2021-04-27;57
2ªDose;2021-04-28;18
2ªDose;2021-04-29;10
