Dose Aplicada;Data;Quantidade
1ªDose;2021-01-26;1
1ªDose;2021-01-27;6
1ªDose;2021-01-28;218
1ªDose;2021-01-29;272
1ªDose;2021-02-01;33
1ªDose;2021-02-02;21
1ªDose;2021-02-03;2
1ªDose;2021-02-04;17
1ªDose;2021-02-05;27
1ªDose;2021-02-26;9
1ªDose;2021-03-01;194
1ªDose;2021-03-02;58
1ªDose;2021-03-03;95
1ªDose;2021-03-04;80
1ªDose;2021-03-05;113
1ªDose;2021-03-08;1
1ªDose;2021-03-10;2
1ªDose;2021-03-12;75
1ªDose;2021-03-15;2
1ªDose;2021-03-17;9
1ªDose;2021-03-22;1
1ªDose;2021-04-05;58
1ªDose;2021-04-06;61
1ªDose;2021-04-07;217
1ªDose;2021-04-08;68
1ªDose;2021-04-19;16
1ªDose;2021-04-20;19
1ªDose;2021-04-22;4
1ªDose;2021-04-23;10
1ªDose;2021-04-27;15
2ªDose;2021-02-02;1
2ªDose;2021-04-13;17
2ªDose;2021-04-14;8
2ªDose;2021-04-15;5
