index;count
2021-05-04;1070
2021-05-05;2081
2021-05-06;2687
2021-05-07;2903
2021-05-08;3144
2021-05-09;3144
2021-05-10;3207
2021-05-11;3366
2021-05-12;3479
2021-05-13;3649
2021-05-14;3764
2021-05-15;3764
2021-05-16;3764
2021-05-17;3941
2021-05-18;4060
2021-05-19;4061
2021-05-20;4166
2021-05-21;4210
2021-05-22;4211
2021-05-23;4211
2021-05-24;4304
2021-05-25;4710
2021-05-26;5265
2021-05-27;5460
2021-05-28;5660
2021-05-29;5660
2021-05-30;5660
2021-05-31;5680
2021-06-01;5681
2021-06-02;5707
2021-06-03;5731
2021-06-04;5740
2021-06-05;5740
2021-06-06;5740
2021-06-07;5759
2021-06-08;5759
2021-06-09;5769
2021-06-10;5769
2021-06-11;5805
2021-06-12;5809
2021-06-13;5809
2021-06-14;5809
2021-06-15;5809
2021-06-16;5809
2021-06-17;6036
2021-06-18;6036
2021-06-19;6036
2021-06-20;6036
2021-06-21;6036
2021-06-22;6036
2021-06-23;6036
2021-06-24;6037
2021-06-25;6037
2021-06-26;6037
2021-06-27;6037
2021-06-28;6037
2021-06-29;6038
2021-06-30;6038
2021-07-01;6038
2021-07-02;6246
2021-07-03;6246
2021-07-04;6246
2021-07-05;9019
2021-07-06;9107
2021-07-07;9148
2021-07-08;9225
2021-07-09;9231
2021-07-10;9231
2021-07-11;9231
2021-07-12;10308
2021-07-13;11800
2021-07-14;11802
2021-07-15;11931
2021-07-16;12069
2021-07-17;12070
2021-07-18;12070
2021-07-19;12254
2021-07-20;12726
2021-07-21;12771
2021-07-22;13149
2021-07-23;13293
