index;count
2021-05-04;167
2021-05-05;256
2021-05-06;256
2021-05-07;256
2021-05-08;256
2021-05-09;256
2021-05-10;256
2021-05-11;275
2021-05-12;311
2021-05-13;364
2021-05-14;407
2021-05-15;407
2021-05-16;407
2021-05-17;410
2021-05-18;423
2021-05-19;423
2021-05-20;427
2021-05-21;427
2021-05-22;427
2021-05-23;427
2021-05-24;427
2021-05-25;499
2021-05-26;522
2021-05-27;522
2021-05-28;522
2021-05-29;522
2021-05-30;522
2021-05-31;522
2021-06-01;532
2021-06-02;532
2021-06-03;532
2021-06-04;532
2021-06-05;532
2021-06-06;532
2021-06-07;532
2021-06-08;532
2021-06-09;532
2021-06-10;532
2021-06-11;532
2021-06-12;532
2021-06-13;532
2021-06-14;532
2021-06-15;532
2021-06-16;539
2021-06-17;539
2021-06-18;539
2021-06-19;539
2021-06-20;539
2021-06-21;539
2021-06-22;539
2021-06-23;573
2021-06-24;573
2021-06-25;573
2021-06-26;573
2021-06-27;573
2021-06-28;573
2021-06-29;573
2021-06-30;649
2021-07-01;651
2021-07-02;873
2021-07-03;1039
2021-07-04;1039
2021-07-05;1039
2021-07-06;1040
2021-07-07;1040
2021-07-08;1040
2021-07-09;1071
2021-07-10;1071
2021-07-11;1071
2021-07-12;1071
2021-07-13;1086
2021-07-14;1256
2021-07-15;1256
2021-07-16;1281
2021-07-17;1281
2021-07-18;1281
2021-07-19;1281
2021-07-20;1352
2021-07-21;1352
2021-07-22;1429
2021-07-23;1436
