Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-21;1
1ªDose;2021-01-22;11
1ªDose;2021-01-24;1
1ªDose;2021-01-25;2
1ªDose;2021-01-27;73
1ªDose;2021-01-28;14
1ªDose;2021-01-29;3
1ªDose;2021-02-01;4
1ªDose;2021-02-02;3
1ªDose;2021-02-03;26
1ªDose;2021-02-04;1
1ªDose;2021-02-09;1
1ªDose;2021-02-11;4
1ªDose;2021-02-15;12
1ªDose;2021-02-16;4
1ªDose;2021-02-22;20
1ªDose;2021-02-23;9
1ªDose;2021-02-24;71
1ªDose;2021-02-25;10
1ªDose;2021-03-04;68
1ªDose;2021-03-05;18
1ªDose;2021-03-11;50
1ªDose;2021-03-13;1
1ªDose;2021-03-16;107
1ªDose;2021-03-17;1
1ªDose;2021-03-18;4
1ªDose;2021-03-23;134
1ªDose;2021-03-24;8
1ªDose;2021-03-25;352
1ªDose;2021-03-26;3
1ªDose;2021-03-30;190
1ªDose;2021-04-01;218
1ªDose;2021-04-08;179
1ªDose;2021-04-13;6
1ªDose;2021-04-14;20
1ªDose;2021-04-15;158
1ªDose;2021-04-16;44
1ªDose;2021-04-19;29
1ªDose;2021-04-23;325
1ªDose;2021-04-26;3
1ªDose;2021-04-27;1
1ªDose;2021-04-28;134
2ªDose;2021-01-27;1
2ªDose;2021-02-16;3
2ªDose;2021-02-17;55
2ªDose;2021-02-18;2
2ªDose;2021-02-19;31
2ªDose;2021-02-22;6
2ªDose;2021-02-24;2
2ªDose;2021-02-25;2
2ªDose;2021-02-26;1
2ªDose;2021-03-01;2
2ªDose;2021-03-02;1
2ªDose;2021-03-03;23
2ªDose;2021-03-04;1
2ªDose;2021-03-09;2
2ªDose;2021-03-10;1
2ªDose;2021-03-11;2
2ªDose;2021-03-12;1
2ªDose;2021-03-13;1
2ªDose;2021-03-15;1
2ªDose;2021-03-16;1
2ªDose;2021-03-18;12
2ªDose;2021-03-22;25
2ªDose;2021-03-23;40
2ªDose;2021-03-24;26
2ªDose;2021-03-25;10
2ªDose;2021-03-26;4
2ªDose;2021-03-30;4
2ªDose;2021-04-07;46
2ªDose;2021-04-08;7
2ªDose;2021-04-13;98
2ªDose;2021-04-14;1
2ªDose;2021-04-16;1
2ªDose;2021-04-19;2
2ªDose;2021-04-20;131
2ªDose;2021-04-21;318
2ªDose;2021-04-22;3
2ªDose;2021-04-23;6
2ªDose;2021-04-26;31
2ªDose;2021-04-27;194
2ªDose;2021-04-28;3
2ªDose;2021-04-29;203
