Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;70
1ªDose;2021-01-20;21
1ªDose;2021-01-21;35
1ªDose;2021-01-22;46
1ªDose;2021-01-25;7
1ªDose;2021-01-26;1
1ªDose;2021-01-27;1
1ªDose;2021-02-01;1
1ªDose;2021-02-02;2
1ªDose;2021-02-04;1
1ªDose;2021-02-11;1
1ªDose;2021-02-12;5
1ªDose;2021-02-16;4
1ªDose;2021-02-17;2
1ªDose;2021-02-18;5
1ªDose;2021-02-19;3
1ªDose;2021-02-22;4
1ªDose;2021-02-23;5
1ªDose;2021-02-24;1
1ªDose;2021-02-25;1
1ªDose;2021-02-26;4
1ªDose;2021-03-01;3
1ªDose;2021-03-02;10
1ªDose;2021-03-03;53
1ªDose;2021-03-04;1
1ªDose;2021-03-05;12
1ªDose;2021-03-08;2
1ªDose;2021-03-09;2
1ªDose;2021-03-12;1
1ªDose;2021-03-18;1
1ªDose;2021-03-22;2
1ªDose;2021-03-23;22
1ªDose;2021-03-24;5
1ªDose;2021-03-25;60
1ªDose;2021-03-26;17
1ªDose;2021-03-30;30
1ªDose;2021-03-31;28
1ªDose;2021-04-06;54
1ªDose;2021-04-07;40
1ªDose;2021-04-08;18
1ªDose;2021-04-09;34
1ªDose;2021-04-12;3
1ªDose;2021-04-14;24
1ªDose;2021-04-15;17
1ªDose;2021-04-19;2
1ªDose;2021-04-20;6
1ªDose;2021-04-22;3
1ªDose;2021-04-23;10
1ªDose;2021-04-27;1
1ªDose;2021-04-28;1
1ªDose;2021-04-29;2
1ªDose;2021-04-30;1
2ªDose;2021-01-21;1
2ªDose;2021-02-11;57
2ªDose;2021-02-12;5
2ªDose;2021-02-15;6
2ªDose;2021-02-16;11
2ªDose;2021-02-17;5
2ªDose;2021-02-18;33
2ªDose;2021-02-19;6
2ªDose;2021-02-22;33
2ªDose;2021-02-23;1
2ªDose;2021-02-25;1
2ªDose;2021-02-26;5
2ªDose;2021-03-01;1
2ªDose;2021-03-03;3
2ªDose;2021-03-12;5
2ªDose;2021-03-18;6
2ªDose;2021-03-19;3
2ªDose;2021-03-22;4
2ªDose;2021-03-23;1
2ªDose;2021-03-24;1
2ªDose;2021-03-25;5
2ªDose;2021-03-26;1
2ªDose;2021-03-29;4
2ªDose;2021-03-30;6
2ªDose;2021-03-31;42
2ªDose;2021-04-01;1
2ªDose;2021-04-03;1
2ªDose;2021-04-04;1
2ªDose;2021-04-06;20
2ªDose;2021-04-07;1
2ªDose;2021-04-12;2
2ªDose;2021-04-14;1
2ªDose;2021-04-19;5
2ªDose;2021-04-20;19
2ªDose;2021-04-22;62
2ªDose;2021-04-23;20
2ªDose;2021-04-26;10
2ªDose;2021-04-27;29
2ªDose;2021-04-28;33
2ªDose;2021-04-29;2
2ªDose;2021-04-30;6
