Dose Aplicada;Data;Quantidade
1ªDose;2021-01-22;1
1ªDose;2021-02-01;1
1ªDose;2021-02-02;4
1ªDose;2021-02-03;3
1ªDose;2021-02-04;9
1ªDose;2021-02-05;9
1ªDose;2021-02-09;20
1ªDose;2021-02-11;17
1ªDose;2021-02-17;8
1ªDose;2021-02-19;1
1ªDose;2021-02-22;5
1ªDose;2021-02-23;14
1ªDose;2021-03-01;1
1ªDose;2021-03-02;2
1ªDose;2021-03-04;43
1ªDose;2021-03-05;11
1ªDose;2021-03-08;22
1ªDose;2021-03-09;30
1ªDose;2021-03-10;21
1ªDose;2021-03-11;2
1ªDose;2021-03-18;8
1ªDose;2021-03-22;1
1ªDose;2021-03-23;30
1ªDose;2021-03-24;37
1ªDose;2021-03-25;85
1ªDose;2021-03-26;43
1ªDose;2021-03-29;22
1ªDose;2021-03-30;11
1ªDose;2021-03-31;9
1ªDose;2021-04-05;62
1ªDose;2021-04-06;20
1ªDose;2021-04-07;8
1ªDose;2021-04-08;112
1ªDose;2021-04-09;112
1ªDose;2021-04-12;57
1ªDose;2021-04-13;108
1ªDose;2021-04-15;9
1ªDose;2021-04-19;11
1ªDose;2021-04-20;63
1ªDose;2021-04-26;53
2ªDose;2021-02-15;6
2ªDose;2021-02-16;6
2ªDose;2021-02-17;21
2ªDose;2021-02-18;8
2ªDose;2021-02-19;12
2ªDose;2021-02-22;5
2ªDose;2021-02-23;1
2ªDose;2021-02-24;7
2ªDose;2021-02-25;1
2ªDose;2021-03-04;1
2ªDose;2021-03-10;1
2ªDose;2021-03-11;7
2ªDose;2021-03-17;9
2ªDose;2021-03-18;8
2ªDose;2021-03-22;7
2ªDose;2021-03-23;2
2ªDose;2021-03-24;1
2ªDose;2021-03-29;1
2ªDose;2021-03-30;3
2ªDose;2021-04-05;2
2ªDose;2021-04-06;1
2ªDose;2021-04-07;1
2ªDose;2021-04-08;38
2ªDose;2021-04-12;2
2ªDose;2021-04-22;12
