Dose Aplicada;Data;Quantidade
1ªDose;2021-02-10;30
1ªDose;2021-02-11;19
1ªDose;2021-03-01;40
1ªDose;2021-03-02;18
1ªDose;2021-03-05;30
1ªDose;2021-03-11;30
1ªDose;2021-03-19;59
1ªDose;2021-03-24;69
1ªDose;2021-03-25;89
1ªDose;2021-03-31;92
1ªDose;2021-04-12;47
1ªDose;2021-04-16;1
1ªDose;2021-04-19;58
1ªDose;2021-04-26;92
1ªDose;2021-04-27;3
2ªDose;2021-02-15;1
2ªDose;2021-02-17;6
2ªDose;2021-02-18;14
2ªDose;2021-02-19;1
2ªDose;2021-02-22;23
2ªDose;2021-02-23;3
2ªDose;2021-03-10;30
2ªDose;2021-03-11;19
2ªDose;2021-03-19;1
2ªDose;2021-03-31;30
2ªDose;2021-04-08;29
2ªDose;2021-04-12;1
2ªDose;2021-04-16;57
2ªDose;2021-04-19;1
2ªDose;2021-04-20;84
2ªDose;2021-04-22;70
2ªDose;2021-04-27;29
2ªDose;2021-04-28;68
