Dose Aplicada;Data;Quantidade
1ªDose;2021-01-19;1
1ªDose;2021-01-28;1
1ªDose;2021-01-29;22
1ªDose;2021-02-01;12
1ªDose;2021-02-02;11
1ªDose;2021-02-04;10
1ªDose;2021-02-11;1
1ªDose;2021-02-12;1
1ªDose;2021-03-01;23
1ªDose;2021-03-02;18
1ªDose;2021-03-03;4
1ªDose;2021-03-04;1
1ªDose;2021-03-05;10
1ªDose;2021-03-06;1
1ªDose;2021-04-12;18
1ªDose;2021-04-13;11
1ªDose;2021-04-14;15
1ªDose;2021-04-15;18
1ªDose;2021-04-19;12
1ªDose;2021-04-20;26
1ªDose;2021-04-22;16
1ªDose;2021-04-23;4
1ªDose;2021-04-26;50
1ªDose;2021-04-27;58
1ªDose;2021-04-28;2
1ªDose;2021-04-29;1
2ªDose;2021-01-29;2
2ªDose;2021-02-01;1
2ªDose;2021-02-02;1
2ªDose;2021-02-04;1
2ªDose;2021-04-19;1
2ªDose;2021-04-20;4
2ªDose;2021-04-23;4
2ªDose;2021-04-26;26
2ªDose;2021-04-27;15
2ªDose;2021-04-28;1
