Dose Aplicada;Data;Quantidade
1ªDose;2021-01-28;1
1ªDose;2021-02-01;6
1ªDose;2021-02-03;9
1ªDose;2021-02-09;1
1ªDose;2021-02-15;27
1ªDose;2021-02-19;19
1ªDose;2021-02-22;10
1ªDose;2021-02-26;10
1ªDose;2021-03-01;21
1ªDose;2021-03-02;52
1ªDose;2021-03-05;19
1ªDose;2021-03-09;23
1ªDose;2021-03-12;18
1ªDose;2021-03-16;64
1ªDose;2021-03-19;32
1ªDose;2021-03-23;84
1ªDose;2021-03-24;66
1ªDose;2021-03-25;82
1ªDose;2021-03-26;35
1ªDose;2021-03-30;88
1ªDose;2021-03-31;101
1ªDose;2021-04-05;8
1ªDose;2021-04-06;105
1ªDose;2021-04-07;42
1ªDose;2021-04-12;7
1ªDose;2021-04-13;23
1ªDose;2021-04-14;2
1ªDose;2021-04-15;4
1ªDose;2021-04-16;4
1ªDose;2021-04-19;1
1ªDose;2021-04-20;73
1ªDose;2021-04-22;4
1ªDose;2021-04-26;35
1ªDose;2021-04-27;7
1ªDose;2021-04-28;152
2ªDose;2021-02-10;14
2ªDose;2021-02-11;9
2ªDose;2021-02-12;11
2ªDose;2021-02-13;1
2ªDose;2021-02-15;5
2ªDose;2021-02-17;8
2ªDose;2021-02-18;3
2ªDose;2021-02-22;11
2ªDose;2021-03-02;19
2ªDose;2021-03-05;1
2ªDose;2021-03-09;5
2ªDose;2021-03-12;10
2ªDose;2021-03-16;13
2ªDose;2021-03-19;11
2ªDose;2021-03-23;7
2ªDose;2021-03-24;1
2ªDose;2021-03-26;18
2ªDose;2021-03-30;3
2ªDose;2021-03-31;9
2ªDose;2021-04-05;24
2ªDose;2021-04-06;18
2ªDose;2021-04-07;4
2ªDose;2021-04-19;1
2ªDose;2021-04-20;185
2ªDose;2021-04-22;2
2ªDose;2021-04-26;84
2ªDose;2021-04-27;153
2ªDose;2021-04-28;14
2ªDose;2021-04-29;5
