Dose Aplicada;Data;Quantidade
1ªDose;2021-01-20;1
1ªDose;2021-01-26;3
1ªDose;2021-02-03;1
1ªDose;2021-02-04;1
1ªDose;2021-02-05;1
1ªDose;2021-02-10;19
1ªDose;2021-02-11;10
1ªDose;2021-03-08;10
1ªDose;2021-03-10;2
1ªDose;2021-03-15;20
1ªDose;2021-03-22;45
1ªDose;2021-03-23;2
1ªDose;2021-03-24;111
1ªDose;2021-03-31;79
1ªDose;2021-04-26;5
1ªDose;2021-04-29;4
2ªDose;2021-02-17;5
2ªDose;2021-02-18;2
2ªDose;2021-02-19;14
2ªDose;2021-02-24;1
2ªDose;2021-02-25;1
2ªDose;2021-03-01;3
2ªDose;2021-03-02;1
2ªDose;2021-03-08;9
2ªDose;2021-03-10;18
2ªDose;2021-03-31;1
2ªDose;2021-04-06;10
2ªDose;2021-04-13;21
2ªDose;2021-04-19;46
2ªDose;2021-04-21;1
2ªDose;2021-04-26;105
2ªDose;2021-04-29;75
