Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;1
1ªDose;2021-01-28;21
1ªDose;2021-01-29;22
1ªDose;2021-02-01;48
1ªDose;2021-02-02;16
1ªDose;2021-02-03;21
1ªDose;2021-02-08;55
1ªDose;2021-02-09;66
1ªDose;2021-02-10;23
1ªDose;2021-02-11;54
1ªDose;2021-02-12;17
1ªDose;2021-03-24;62
1ªDose;2021-03-25;72
1ªDose;2021-03-26;75
1ªDose;2021-03-29;424
1ªDose;2021-03-30;453
1ªDose;2021-03-31;189
1ªDose;2021-04-01;6
1ªDose;2021-04-05;313
1ªDose;2021-04-06;336
1ªDose;2021-04-07;4
1ªDose;2021-04-09;14
1ªDose;2021-04-13;11
1ªDose;2021-04-14;287
1ªDose;2021-04-15;93
1ªDose;2021-04-16;15
1ªDose;2021-04-19;16
1ªDose;2021-04-20;112
1ªDose;2021-04-22;146
1ªDose;2021-04-23;60
1ªDose;2021-04-26;70
1ªDose;2021-04-27;230
1ªDose;2021-04-28;98
1ªDose;2021-04-29;222
1ªDose;2021-04-30;62
2ªDose;2021-03-26;2
2ªDose;2021-03-31;1
2ªDose;2021-04-05;1
2ªDose;2021-04-07;1
2ªDose;2021-04-09;1
2ªDose;2021-04-13;5
2ªDose;2021-04-14;3
2ªDose;2021-04-15;8
2ªDose;2021-04-16;29
2ªDose;2021-04-19;47
2ªDose;2021-04-20;51
2ªDose;2021-04-22;38
2ªDose;2021-04-23;19
2ªDose;2021-04-26;7
2ªDose;2021-04-27;17
2ªDose;2021-04-28;24
2ªDose;2021-04-29;33
2ªDose;2021-04-30;24
