Dose Aplicada;Data;Quantidade
1ªDose;2021-02-02;2
1ªDose;2021-02-03;22
1ªDose;2021-02-08;32
1ªDose;2021-02-09;64
1ªDose;2021-02-10;63
1ªDose;2021-02-11;29
1ªDose;2021-02-12;20
1ªDose;2021-02-15;11
1ªDose;2021-02-18;6
1ªDose;2021-02-19;1
1ªDose;2021-02-22;5
1ªDose;2021-03-01;2
1ªDose;2021-03-02;106
1ªDose;2021-03-03;10
1ªDose;2021-03-05;203
1ªDose;2021-03-08;6
1ªDose;2021-03-11;2
1ªDose;2021-03-12;2
1ªDose;2021-03-15;2
1ªDose;2021-03-22;319
1ªDose;2021-03-25;565
1ªDose;2021-03-26;44
1ªDose;2021-03-29;2
1ªDose;2021-03-30;1
1ªDose;2021-03-31;22
1ªDose;2021-04-01;283
1ªDose;2021-04-07;5
1ªDose;2021-04-12;8
1ªDose;2021-04-13;194
1ªDose;2021-04-14;3
1ªDose;2021-04-19;11
1ªDose;2021-04-20;4
1ªDose;2021-04-21;288
1ªDose;2021-04-27;2
1ªDose;2021-04-28;301
1ªDose;2021-04-29;15
1ªDose;2021-04-30;15
2ªDose;2021-02-15;1
2ªDose;2021-02-17;39
2ªDose;2021-02-18;16
2ªDose;2021-02-19;32
2ªDose;2021-02-22;34
2ªDose;2021-02-23;36
2ªDose;2021-02-24;3
2ªDose;2021-02-26;2
2ªDose;2021-03-01;5
2ªDose;2021-03-02;1
2ªDose;2021-03-03;3
2ªDose;2021-03-08;3
2ªDose;2021-03-09;58
2ªDose;2021-03-10;12
2ªDose;2021-03-11;17
2ªDose;2021-03-12;7
2ªDose;2021-03-15;31
2ªDose;2021-03-16;12
2ªDose;2021-03-17;1
2ªDose;2021-03-23;1
2ªDose;2021-03-26;8
2ªDose;2021-03-29;88
2ªDose;2021-03-30;2
2ªDose;2021-04-01;3
2ªDose;2021-04-05;2
2ªDose;2021-04-07;316
2ªDose;2021-04-08;1
2ªDose;2021-04-09;2
2ªDose;2021-04-12;2
2ªDose;2021-04-14;1
2ªDose;2021-04-19;363
2ªDose;2021-04-20;228
2ªDose;2021-04-21;2
2ªDose;2021-04-22;30
2ªDose;2021-04-23;9
2ªDose;2021-04-26;5
2ªDose;2021-04-27;3
2ªDose;2021-04-28;3
2ªDose;2021-04-29;7
2ªDose;2021-04-30;5
