Dose Aplicada;Data;Quantidade
1ªDose;2021-01-21;3
1ªDose;2021-02-03;12
1ªDose;2021-02-04;20
1ªDose;2021-02-10;10
1ªDose;2021-02-12;7
1ªDose;2021-02-16;1
1ªDose;2021-02-17;1
1ªDose;2021-02-18;1
1ªDose;2021-02-19;3
1ªDose;2021-02-25;11
1ªDose;2021-02-26;4
1ªDose;2021-03-01;5
1ªDose;2021-03-02;6
1ªDose;2021-03-03;6
1ªDose;2021-03-04;32
1ªDose;2021-03-05;18
1ªDose;2021-03-09;15
1ªDose;2021-03-11;18
1ªDose;2021-03-12;39
1ªDose;2021-03-16;27
1ªDose;2021-03-18;1
1ªDose;2021-03-19;19
1ªDose;2021-03-22;18
1ªDose;2021-03-23;10
1ªDose;2021-03-24;71
1ªDose;2021-03-25;29
1ªDose;2021-03-26;14
1ªDose;2021-03-30;117
1ªDose;2021-03-31;107
1ªDose;2021-04-01;42
1ªDose;2021-04-14;14
1ªDose;2021-04-15;127
1ªDose;2021-04-16;99
1ªDose;2021-04-19;1
1ªDose;2021-04-21;111
1ªDose;2021-04-22;84
1ªDose;2021-04-27;1
1ªDose;2021-04-28;32
1ªDose;2021-04-29;2
2ªDose;2021-02-17;13
2ªDose;2021-02-18;44
2ªDose;2021-02-19;2
2ªDose;2021-02-22;12
2ªDose;2021-03-02;1
2ªDose;2021-03-04;1
2ªDose;2021-03-05;1
2ªDose;2021-03-09;2
2ªDose;2021-03-12;15
2ªDose;2021-03-25;10
2ªDose;2021-03-26;9
2ªDose;2021-04-08;48
2ªDose;2021-04-09;9
2ªDose;2021-04-13;25
2ªDose;2021-04-15;17
2ªDose;2021-04-19;25
2ªDose;2021-04-20;34
2ªDose;2021-04-22;8
2ªDose;2021-04-27;19
2ªDose;2021-04-28;70
2ªDose;2021-04-29;23
