Dose Aplicada;Data;Quantidade
1ªDose;2021-01-25;27
1ªDose;2021-01-27;57
1ªDose;2021-01-28;110
1ªDose;2021-02-02;11
1ªDose;2021-02-03;39
1ªDose;2021-02-04;8
1ªDose;2021-02-10;1
1ªDose;2021-03-01;396
1ªDose;2021-03-02;6
1ªDose;2021-03-04;1
1ªDose;2021-03-05;2
1ªDose;2021-03-08;10
1ªDose;2021-03-17;1
1ªDose;2021-04-07;2
1ªDose;2021-04-09;10
1ªDose;2021-04-12;223
1ªDose;2021-04-13;37
1ªDose;2021-04-14;2
1ªDose;2021-04-16;2
1ªDose;2021-04-17;494
1ªDose;2021-04-18;1
1ªDose;2021-04-19;257
1ªDose;2021-04-20;1
1ªDose;2021-04-24;1
1ªDose;2021-04-26;520
1ªDose;2021-04-27;2
2ªDose;2021-01-28;1
2ªDose;2021-02-11;1
2ªDose;2021-04-09;1
2ªDose;2021-04-13;125
2ªDose;2021-04-14;1
2ªDose;2021-04-15;1
2ªDose;2021-04-16;5
2ªDose;2021-04-17;2
2ªDose;2021-04-20;5
2ªDose;2021-04-21;5
2ªDose;2021-04-22;1
2ªDose;2021-04-23;1
2ªDose;2021-04-26;4
2ªDose;2021-04-27;3
2ªDose;2021-04-29;1
2ªDose;2021-04-30;2
