index;count
2021-05-04;2
2021-05-05;17
2021-05-06;57
2021-05-07;77
2021-05-08;77
2021-05-09;77
2021-05-10;79
2021-05-11;82
2021-05-12;94
2021-05-13;122
2021-05-14;131
2021-05-15;140
2021-05-16;140
2021-05-17;141
2021-05-18;150
2021-05-19;160
2021-05-20;193
2021-05-21;193
2021-05-22;193
2021-05-23;193
2021-05-24;193
2021-05-25;193
2021-05-26;230
2021-05-27;331
2021-05-28;382
2021-05-29;382
2021-05-30;382
2021-05-31;402
2021-06-01;412
2021-06-02;412
2021-06-03;412
2021-06-04;412
2021-06-05;412
2021-06-06;412
2021-06-07;412
2021-06-08;412
2021-06-09;412
2021-06-10;412
2021-06-11;412
2021-06-12;412
2021-06-13;412
2021-06-14;412
2021-06-15;412
2021-06-16;412
2021-06-17;412
2021-06-18;412
2021-06-19;412
2021-06-20;412
2021-06-21;412
2021-06-22;412
2021-06-23;412
2021-06-24;412
2021-06-25;412
2021-06-26;412
2021-06-27;412
2021-06-28;412
2021-06-29;412
2021-06-30;479
2021-07-01;479
2021-07-02;479
2021-07-03;479
2021-07-04;479
2021-07-05;479
2021-07-06;479
2021-07-07;479
2021-07-08;553
2021-07-09;576
2021-07-10;576
2021-07-11;576
2021-07-12;584
2021-07-13;662
2021-07-14;788
2021-07-15;1032
2021-07-16;1038
2021-07-17;1038
2021-07-18;1038
2021-07-19;1038
2021-07-20;1122
2021-07-21;1258
2021-07-22;1268
