index;count
2021-05-04;12
2021-05-05;24
2021-05-06;38
2021-05-07;49
2021-05-08;49
2021-05-09;49
2021-05-10;52
2021-05-11;61
2021-05-12;66
2021-05-13;74
2021-05-14;74
2021-05-15;74
2021-05-16;74
2021-05-17;255
2021-05-18;422
2021-05-19;425
2021-05-20;425
2021-05-21;442
2021-05-22;442
2021-05-23;442
2021-05-24;505
2021-05-25;716
2021-05-26;918
2021-05-27;1019
2021-05-28;1041
2021-05-29;1041
2021-05-30;1041
2021-05-31;1061
2021-06-01;1092
2021-06-02;1101
2021-06-03;1133
2021-06-04;1133
2021-06-05;1134
2021-06-06;1134
2021-06-07;1134
2021-06-08;1134
2021-06-09;1135
2021-06-10;1146
2021-06-11;1146
2021-06-12;1146
2021-06-13;1146
2021-06-14;1146
2021-06-15;1146
2021-06-16;1146
2021-06-17;1147
2021-06-18;1147
2021-06-19;1147
2021-06-20;1147
2021-06-21;1260
2021-06-22;1541
2021-06-23;1541
2021-06-24;1541
2021-06-25;1541
2021-06-26;1541
2021-06-27;1541
2021-06-28;1617
2021-06-29;1617
2021-06-30;1661
2021-07-01;1890
2021-07-02;1905
2021-07-03;1905
2021-07-04;1905
2021-07-05;1959
2021-07-06;2034
2021-07-07;2204
2021-07-08;2341
2021-07-09;2446
2021-07-10;2447
2021-07-11;2447
2021-07-12;2827
2021-07-13;3445
2021-07-14;3796
2021-07-15;4220
2021-07-16;4511
2021-07-17;4586
2021-07-18;4586
2021-07-19;4810
2021-07-20;5143
2021-07-21;5332
2021-07-22;5594
2021-07-23;5927
