index;count
2021-05-13;25
2021-05-14;52
2021-05-15;52
2021-05-16;52
2021-05-17;61
2021-05-18;101
2021-05-19;122
2021-05-20;177
2021-05-21;225
2021-05-22;225
2021-05-23;225
2021-05-24;269
2021-05-25;327
2021-05-26;372
2021-05-27;560
2021-05-28;689
2021-05-29;689
2021-05-30;689
2021-05-31;747
2021-06-01;761
2021-06-02;779
2021-06-03;779
2021-06-04;779
2021-06-05;779
2021-06-06;779
2021-06-07;779
2021-06-08;779
2021-06-09;779
2021-06-10;779
2021-06-11;779
2021-06-12;779
2021-06-13;779
2021-06-14;779
2021-06-15;779
2021-06-16;779
2021-06-17;779
2021-06-18;779
2021-06-19;779
2021-06-20;779
2021-06-21;779
2021-06-22;779
2021-06-23;779
2021-06-24;779
2021-06-25;779
2021-06-26;779
2021-06-27;779
2021-06-28;779
2021-06-29;779
2021-06-30;779
2021-07-01;779
2021-07-02;807
2021-07-03;819
2021-07-04;819
2021-07-05;834
2021-07-06;862
2021-07-07;864
2021-07-08;866
2021-07-09;963
2021-07-10;963
2021-07-11;963
2021-07-12;968
2021-07-13;1785
2021-07-14;1982
2021-07-15;2038
2021-07-16;2124
2021-07-17;2124
2021-07-18;2124
2021-07-19;2253
2021-07-20;2276
2021-07-21;2317
2021-07-22;2452
