index;count
2021-05-04;17
2021-05-05;25
2021-05-06;28
2021-05-07;29
2021-05-08;29
2021-05-09;29
2021-05-10;29
2021-05-11;29
2021-05-12;31
2021-05-13;32
2021-05-14;61
2021-05-15;61
2021-05-16;61
2021-05-17;61
2021-05-18;82
2021-05-19;83
2021-05-20;84
2021-05-21;85
2021-05-22;85
2021-05-23;85
2021-05-24;85
2021-05-25;119
2021-05-26;144
2021-05-27;180
2021-05-28;190
2021-05-29;190
2021-05-30;190
2021-05-31;190
2021-06-01;200
2021-06-02;200
2021-06-03;200
2021-06-04;200
2021-06-05;200
2021-06-06;200
2021-06-07;200
2021-06-08;200
2021-06-09;200
2021-06-10;200
2021-06-11;200
2021-06-12;200
2021-06-13;200
2021-06-14;200
2021-06-15;200
2021-06-16;200
2021-06-17;200
2021-06-18;200
2021-06-19;200
2021-06-20;200
2021-06-21;475
2021-06-22;811
2021-06-23;942
2021-06-24;1022
2021-06-25;1022
2021-06-26;1022
2021-06-27;1022
2021-06-28;1143
2021-06-29;1144
2021-06-30;1145
2021-07-01;1187
2021-07-02;1194
2021-07-03;1194
2021-07-04;1194
2021-07-05;1194
2021-07-06;1195
2021-07-07;1223
2021-07-08;1223
2021-07-09;1233
2021-07-10;1233
2021-07-11;1233
2021-07-12;1233
2021-07-13;1477
2021-07-14;1477
2021-07-15;1479
2021-07-16;1497
2021-07-17;1497
2021-07-18;1497
2021-07-19;1556
2021-07-20;1584
2021-07-21;1635
2021-07-22;1650
