index;count
2021-05-25;66
2021-05-26;137
2021-05-27;197
2021-05-28;217
2021-05-29;217
2021-05-30;217
2021-05-31;217
2021-06-01;217
2021-06-02;217
2021-06-03;217
2021-06-04;217
2021-06-05;217
2021-06-06;217
2021-06-07;217
2021-06-08;217
2021-06-09;217
2021-06-10;217
2021-06-11;217
2021-06-12;217
2021-06-13;217
2021-06-14;217
2021-06-15;217
2021-06-16;217
2021-06-17;217
2021-06-18;217
2021-06-19;217
2021-06-20;217
2021-06-21;223
2021-06-22;465
2021-06-23;669
2021-06-24;669
2021-06-25;669
2021-06-26;669
2021-06-27;669
2021-06-28;883
2021-06-29;963
2021-06-30;966
2021-07-01;966
2021-07-02;1172
2021-07-03;1172
2021-07-04;1172
2021-07-05;1335
2021-07-06;1411
2021-07-07;1794
2021-07-08;2057
2021-07-09;2068
2021-07-10;2068
2021-07-11;2068
2021-07-12;2153
2021-07-13;2382
2021-07-14;2438
2021-07-15;2486
2021-07-16;2721
2021-07-17;2721
2021-07-18;2721
2021-07-19;2816
2021-07-20;2850
2021-07-21;2875
