index;count
2021-05-04;1
2021-05-05;1
2021-05-06;1
2021-05-07;1
2021-05-08;136
2021-05-09;136
2021-05-10;172
2021-05-11;201
2021-05-12;201
2021-05-13;201
2021-05-14;201
2021-05-15;201
2021-05-16;201
2021-05-17;201
2021-05-18;201
2021-05-19;201
2021-05-20;201
2021-05-21;202
2021-05-22;202
2021-05-23;202
2021-05-24;202
2021-05-25;212
2021-05-26;232
2021-05-27;257
2021-05-28;274
2021-05-29;274
2021-05-30;274
2021-05-31;304
2021-06-01;324
2021-06-02;324
2021-06-03;324
2021-06-04;327
2021-06-05;327
2021-06-06;327
2021-06-07;327
2021-06-08;327
2021-06-09;327
2021-06-10;327
2021-06-11;327
2021-06-12;327
2021-06-13;327
2021-06-14;327
2021-06-15;327
2021-06-16;327
2021-06-17;327
2021-06-18;327
2021-06-19;496
2021-06-20;496
2021-06-21;988
2021-06-22;1551
2021-06-23;1819
2021-06-24;2221
2021-06-25;2221
2021-06-26;2221
2021-06-27;2221
2021-06-28;2445
2021-06-29;2511
2021-06-30;2687
2021-07-01;2911
2021-07-02;3247
2021-07-03;3305
2021-07-04;3305
2021-07-05;3305
2021-07-06;3395
2021-07-07;3395
2021-07-08;3403
2021-07-09;3447
2021-07-10;3447
2021-07-11;3447
2021-07-12;3447
2021-07-13;3553
2021-07-14;3553
2021-07-15;3553
2021-07-16;3597
2021-07-17;3597
2021-07-18;3597
2021-07-19;3624
2021-07-20;3624
2021-07-21;3627
2021-07-22;3643
