index;count
2021-05-05;12
2021-05-06;33
2021-05-07;51
2021-05-08;51
2021-05-09;51
2021-05-10;51
2021-05-11;51
2021-05-12;51
2021-05-13;81
2021-05-14;81
2021-05-15;81
2021-05-16;81
2021-05-17;99
2021-05-18;99
2021-05-19;99
2021-05-20;99
2021-05-21;99
2021-05-22;99
2021-05-23;99
2021-05-24;99
2021-05-25;99
2021-05-26;110
2021-05-27;142
2021-05-28;142
2021-05-29;142
2021-05-30;142
2021-05-31;189
2021-06-01;209
2021-06-02;227
2021-06-03;227
2021-06-04;227
2021-06-05;227
2021-06-06;227
2021-06-07;227
2021-06-08;227
2021-06-09;227
2021-06-10;227
2021-06-11;227
2021-06-12;228
2021-06-13;228
2021-06-14;228
2021-06-15;228
2021-06-16;228
2021-06-17;228
2021-06-18;228
2021-06-19;228
2021-06-20;228
2021-06-21;228
2021-06-22;228
2021-06-23;228
2021-06-24;228
2021-06-25;228
2021-06-26;228
2021-06-27;228
2021-06-28;228
2021-06-29;228
2021-06-30;228
2021-07-01;228
2021-07-02;228
2021-07-03;277
2021-07-04;277
2021-07-05;277
2021-07-06;289
2021-07-07;289
2021-07-08;293
2021-07-09;355
2021-07-10;355
2021-07-11;355
2021-07-12;373
2021-07-13;428
2021-07-14;428
2021-07-15;511
2021-07-16;559
2021-07-17;559
2021-07-18;559
2021-07-19;630
2021-07-20;720
2021-07-21;740
